PFID Old Name,PFID New Name,Annotation,Map_Name,Map Link,Enzyme,E C,Synonyms List
PFA0005w,PF3D7_0100100,erythrocyte membrane protein 1_ PfEMP1,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,var, ,
PFA0005w,PF3D7_0100100,erythrocyte membrane protein 1_ PfEMP1,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP1, ,
PFA0005w,PF3D7_0100100,erythrocyte membrane protein 1_ PfEMP1,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,PfEMP1, ,
PFA0005w,PF3D7_0100100,erythrocyte membrane protein 1_ PfEMP1,PfEMP1 domain architectures,http://mpmp.huji.ac.il/maps/PfEMP1.html,Type 1a, ,
PFA0010c,PF3D7_0100200,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0010c,PF3D7_0100200,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0010c,PF3D7_0100200,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0015c,PF3D7_0100300,erythrocyte membrane protein 1_ PfEMP1,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,var, ,
PFA0015c,PF3D7_0100300,erythrocyte membrane protein 1_ PfEMP1,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP1, ,
PFA0015c,PF3D7_0100300,erythrocyte membrane protein 1_ PfEMP1,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,PfEMP1, ,
PFA0015c,PF3D7_0100300,erythrocyte membrane protein 1_ PfEMP1,PfEMP1 domain architectures,http://mpmp.huji.ac.il/maps/PfEMP1.html,Type 3, ,
PFA0020w,PF3D7_0100400,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0020w,PF3D7_0100400,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0020w,PF3D7_0100400,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0025c,PF3D7_0100500,erythrocyte membrane protein 1 (PfEMP1)_ exon 1_ pseudogene,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP1, ,
PFA0025c,PF3D7_0100500,erythrocyte membrane protein 1 (PfEMP1)_ exon 1_ pseudogene,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,PfEMP1, ,
PFA0030c,PF3D7_0100600,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0030c,PF3D7_0100600,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0030c,PF3D7_0100600,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0040w,PF3D7_0100800,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0040w,PF3D7_0100800,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0040w,PF3D7_0100800,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0045c,PF3D7_0100900,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0045c,PF3D7_0100900,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0045c,PF3D7_0100900,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0050c,PF3D7_0101000,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0050c,PF3D7_0101000,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0050c,PF3D7_0101000,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0055c,PF3D7_0101100,exported protein family 4,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,Exported protein family 4_ EPF4, ,
PFA0060w,PF3D7_0101200,exported protein family 3,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,Exported protein family 3_ EPF3, ,
PFA0065w,PF3D7_0101300,Pfmc-2TM Maurer_s cleft two transmembrane protein,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,Plasmodium falciparum Maurer_s Cleft 2 transmembrane domain protein 1.1_ PfMC-2TM_1.1, ,
PFA0065w,PF3D7_0101300,Pfmc-2TM Maurer_s cleft two transmembrane protein,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,Pfmc-2tm, ,
PFA0070c,PF3D7_0101400,exported protein family 1_ pseudogene,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,exported protein family 1_ pseudogene EPF1, ,
PFA0080c,PF3D7_0101600,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0080c,PF3D7_0101600,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0080c,PF3D7_0101600,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0085c,PF3D7_0101700,erythrocyte membrane protein 1 (PfEMP1)_ exon 2_ pseudogene,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP1, ,
PFA0085c,PF3D7_0101700,erythrocyte membrane protein 1 (PfEMP1)_ exon 2_ pseudogene,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,PfEMP1, ,
PFA0090c,PF3D7_0101800,stevor,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,STEVOR, ,
PFA0090c,PF3D7_0101800,stevor,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,STEVOR, ,
PFA0090c,PF3D7_0101800,stevor,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,stevor, ,
PFA0095c,PF3D7_0101900,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0095c,PF3D7_0101900,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0095c,PF3D7_0101900,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0105w,PF3D7_0102100,stevor_ pseudogene,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,STEVOR, ,
PFA0105w,PF3D7_0102100,stevor_ pseudogene,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,STEVOR, ,
PFA0105w,PF3D7_0102100,stevor_ pseudogene,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,stevor, ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,Translocon of exported proteins (PTEX),http://mpmp.huji.ac.il/maps/PTEX.html,RESA, ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,Ring-infected erythrocyte surface antigen precursor; RESA1, ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,Genes coding for chaperones and their regulators,http://mpmp.huji.ac.il/maps/Pf_chaperones.html,Ring-infected erythrocyte surface antigen precursor; RESA1, ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,Proteins of detergent-resistant membranes,http://mpmp.huji.ac.il/maps/DRM_prot.html,ring-infected erythrocyte surface antigen (RESA) precursor; exported protein (RLE motif), ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,The phosphoproteome of Plasmodium falciparum infected RBCs,http://mpmp.huji.ac.il/maps/phosphopr.html,Ring-infected erythrocyte surface antigen, ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RESA, ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,S-Glutathionylated proteins,http://mpmp.huji.ac.il/maps/gluth_prot.html,Ring-infected erythrocyte surface antigen precursor_ RESA, ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,DNAJ protein_ putative_ RESA, ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,ring-infected erythrocyte surface antigen, ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,ring-infected erythrocyte surface antigen, ,
PFA0110w,PF3D7_0102200,ring-infected erythrocyte surface antigen,Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte,http://mpmp.huji.ac.il/maps/RBC_memb_remodel.html,RESA/Pf155, ,
PFA0120c,PF3D7_0102400,lysophospholipase_ putative_ pseudogene,Phosphatidylcholine metabolism,http://mpmp.huji.ac.il/maps/phcholine.html,Lysohospholipase,3.1.1.5,lecithinase B_ Lysohospholipase_ lysolecithinase_ lysophosphatidase_ lysophosphatidylcholine hydrolase_ lysophospholipase A1_ phosphatidase B_ 
PFA0120c,PF3D7_0102400,lysophospholipase_ putative_ pseudogene,Phosphatidylethanolamine and phosphatidylserine metabolism,http://mpmp.huji.ac.il/maps/phserine.html,Lysohospholipase,3.1.1.5,lecithinase B_ Lysohospholipase_ lysolecithinase_ lysophosphatidase_ lysophosphatidylcholine hydrolase_ lysophospholipase A1_ phosphatidase B_ 
PFA0120c,PF3D7_0102400,lysophospholipase_ putative_ pseudogene,Utilization of phospholipids,http://mpmp.huji.ac.il/maps/utilPhospho.html,Lysohospholipase,3.1.1.5,lecithinase B_ Lysohospholipase_ lysolecithinase_ lysophosphatidase_ lysophosphatidylcholine hydrolase_ lysophospholipase A1_ phosphatidase B_ 
PFA0125c,PF3D7_0102500,erythrocyte binding antigen-181,Functional annotation of merozoite invasion-related proteins,http://mpmp.huji.ac.il/maps/Merozoiteproteins.html,EBA-181/JESEBL, ,
PFA0125c,PF3D7_0102500,erythrocyte binding antigen-181,Subcellular localization of proteins involved in invasion,http://mpmp.huji.ac.il/maps/proteinsLocalizpath.html,EBA -181, ,
PFA0125c,PF3D7_0102500,erythrocyte binding antigen-181,Parasite invasion ligands and human erythrocyte receptors,http://mpmp.huji.ac.il/maps/ligand&receptor.html,EBA-181, ,
PFA0125c,PF3D7_0102500,erythrocyte binding antigen-181,Domains of merozoite surface proteins,http://mpmp.huji.ac.il/maps/DomSurfaceProt.html,EBA-181/JESEBL, ,
PFA0130c,PF3D7_0102600,serine/threonine protein kinase_ FIKK family,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,Serine/Threonine protein kinase_ FIKK family_ putative,2.7.11.1,
PFA0130c,PF3D7_0102600,serine/threonine protein kinase_ FIKK family,Protein kinase coding genes,http://mpmp.huji.ac.il/maps/Protein_kinases.html,Serine/Threonine protein kinase_ putative,2.7.11.1,
PFA0130c,PF3D7_0102600,serine/threonine protein kinase_ FIKK family,Protein phosphorylation,http://mpmp.huji.ac.il/maps/phosphorylation.html,Protein kinase,2.7.11.1,
PFA0145c,PF3D7_0102900,aspartate--tRNA ligase,Modification of proteins by adenylylation and ADP-ribosylation,http://mpmp.huji.ac.il/maps/adenylyl.html,tRNA aminoacyl synthetases Class II, ,
PFA0145c,PF3D7_0102900,aspartate--tRNA ligase,Protein biosynthesis,http://mpmp.huji.ac.il/maps/proteinBiosynth.html,Asp-tRNA ligase,6.1.1.12,aspartic acid translase_ aspartyl ribonucleate synthetase_ aspartyl ribonucleic synthetase_ aspartyl-transfer ribonucleic acid synthetase_ aspartyl-transfer RNA synthetase_ aspartyl-tRNA synthetase_ 
PFA0145c,PF3D7_0102900,aspartate--tRNA ligase,Asparagine and Aspartate metabolism,http://priweb.cc.huji.ac.il/malaria//maps/alanAspartate.html,Aspartate-tRNA ligase,6.1.1.12,aspartic acid translase_ aspartyl ribonucleate synthetase_ aspartyl ribonucleic synthetase_ aspartyl-transfer ribonucleic acid synthetase_ aspartyl-transfer RNA synthetase_ aspartyl-tRNA synthetase_ 
PFA0150c,PF3D7_0103000,vacuolar protein sorting-associated protein VTA1_ putative,Large Tethering Complexes that Act in the Secretory and Endocytic Pathways,http://priweb.cc.huji.ac.il/malaria//maps/largeTethering.html,VTA1, ,
PFA0155c,PF3D7_0103100,vacuolar protein sorting-associated protein 51_ putative,Large Tethering Complexes that Act in the Secretory and Endocytic Pathways,http://priweb.cc.huji.ac.il/malaria//maps/largeTethering.html,VPS51, ,
PFA0160c,PF3D7_0103200,nucleoside transporter 4,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,nucleoside transporter 4, ,
PFA0160c,PF3D7_0103200,nucleoside transporter 4,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,nucleoside transporter_ putative, ,
