PBANKA	CITH	DOZI	DOZI/CITH
PBANKA_134780	1	1	2
PBANKA_071420	1	1	2
PBANKA_051500	1	1	2
PBANKA_051490	1	1	2
PBANKA_051170	1	1	2
PBANKA_081680	1	1	2
PBANKA_102870	1	1	2
PBANKA_071290	1	1	2
PBANKA_092000	1	1	2
PBANKA_103840	1	1	2
PBANKA_060930	1	1	2
PBANKA_083680	1	1	2
PBANKA_133890	1	1	2
PBANKA_090710	1	1	2
PBANKA_124060	1	1	2
PBANKA_143660	1	1	2
PBANKA_130290	1	1	2
PBANKA_123130	1	1	2
PBANKA_123780	1	1	2
PBANKA_082140	1	1	2
PBANKA_051850	1	1	2
PBANKA_100830	1	1	2
PBANKA_142370	1	1	2
PBANKA_122330	1	1	2
PBANKA_141890	1	1	2
PBANKA_030800	1	1	2
PBANKA_041820	1	1	2
PBANKA_114350	1	1	2
PBANKA_144580	1	1	2
PBANKA_071400	1	1	2
PBANKA_070910	1	1	2
PBANKA_134670	1	1	2
PBANKA_090490	1	1	2
PBANKA_124560	1	1	2
PBANKA_061600	1	1	2
PBANKA_101810	1	1	2
PBANKA_070670	1	1	2
PBANKA_010210	1	1	2
PBANKA_135900	1	1	2
PBANKA_030690	1	1	2
PBANKA_052350	1	1	2
PBANKA_143230	1	1	2
PBANKA_060710	1	1	2
PBANKA_110260	1	1	2
PBANKA_082880	1	1	2
PBANKA_135570	1	1	2
PBANKA_144940	1	1	2
PBANKA_090590	1	1	2
PBANKA_092880	1	1	2
PBANKA_130820	1	1	2
PBANKA_100210	1	1	2
PBANKA_100260	1	1	2
PBANKA_145330	1	1	2
PBANKA_122560	1	1	2
PBANKA_121690	1	1	2
PBANKA_041570	1	1	2
PBANKA_090040	1	1	2
PBANKA_146520	1	1	2
PBANKA_021500	1	1	2
PBANKA_060620	1	1	2
PBANKA_141110	1	1	2
PBANKA_081590	1	1	2
PBANKA_102440	1	1	2
PBANKA_113320	1	1	2
PBANKA_124400	1	1	2
PBANKA_112190	1	1	2
PBANKA_041290	1	1	2
PBANKA_123520	1	1	2
PBANKA_030580	1	1	2
PBANKA_020360	1	1	2
PBANKA_030160	1	1	2
PBANKA_030660	1	1	2
PBANKA_031070	1	1	2
PBANKA_031210	1	1	2
PBANKA_031480	1	1	2
PBANKA_031490	1	1	2
PBANKA_040250	1	1	2
PBANKA_041720	1	1	2
PBANKA_050520	1	1	2
PBANKA_050610	1	1	2
PBANKA_050750	1	1	2
PBANKA_051300	1	1	2
PBANKA_052110	1	1	2
PBANKA_060330	1	1	2
PBANKA_061240	1	1	2
PBANKA_061780	1	1	2
PBANKA_062030	1	1	2
PBANKA_062040	1	1	2
PBANKA_070330	1	1	2
PBANKA_070490	1	1	2
PBANKA_071220	1	1	2
PBANKA_072090	1	1	2
PBANKA_080290	1	1	2
PBANKA_080380	1	1	2
PBANKA_081330	1	1	2
PBANKA_081540	1	1	2
PBANKA_082120	1	1	2
PBANKA_082320	1	1	2
PBANKA_082590	1	1	2
PBANKA_082740	1	1	2
PBANKA_083280	1	1	2
PBANKA_083470	1	1	2
PBANKA_090170	1	1	2
PBANKA_090300	1	1	2
PBANKA_090620	1	1	2
PBANKA_090780	1	1	2
PBANKA_091320	1	1	2
PBANKA_091670	1	1	2
PBANKA_093260	1	1	2
PBANKA_100170	1	1	2
PBANKA_100190	1	1	2
PBANKA_102680	1	1	2
PBANKA_103300	1	1	2
PBANKA_103880	1	1	2
PBANKA_110410	1	1	2
PBANKA_110600	1	1	2
PBANKA_110930	1	1	2
PBANKA_110990	1	1	2
PBANKA_111020	1	1	2
PBANKA_111270	1	1	2
PBANKA_111500	1	1	2
PBANKA_112590	1	1	2
PBANKA_113230	1	1	2
PBANKA_113580	1	1	2
PBANKA_113740	1	1	2
PBANKA_113860	1	1	2
PBANKA_114380	1	1	2
PBANKA_120450	1	1	2
PBANKA_120930	1	1	2
PBANKA_121440	1	1	2
PBANKA_122530	1	1	2
PBANKA_122550	1	1	2
PBANKA_122750	1	1	2
PBANKA_122990	1	1	2
PBANKA_123900	1	1	2
PBANKA_124010	1	1	2
PBANKA_124240	1	1	2
PBANKA_124260	1	1	2
PBANKA_124520	1	1	2
PBANKA_130980	1	1	2
PBANKA_131130	1	1	2
PBANKA_131140	1	1	2
PBANKA_131260	1	1	2
PBANKA_131850	1	1	2
PBANKA_131860	1	1	2
PBANKA_131900	1	1	2
PBANKA_132080	1	1	2
PBANKA_132180	1	1	2
PBANKA_132390	1	1	2
PBANKA_132540	1	1	2
PBANKA_132940	1	1	2
PBANKA_132990	1	1	2
PBANKA_133400	1	1	2
PBANKA_133470	1	1	2
PBANKA_133620	1	1	2
PBANKA_133810	1	1	2
PBANKA_134230	1	1	2
PBANKA_134370	1	1	2
PBANKA_135380	1	1	2
PBANKA_135490	1	1	2
PBANKA_135610	1	1	2
PBANKA_136040	1	1	2
PBANKA_136140	1	1	2
PBANKA_136460	1	1	2
PBANKA_140090	1	1	2
PBANKA_141480	1	1	2
PBANKA_141520	1	1	2
PBANKA_141540	1	1	2
PBANKA_141740	1	1	2
PBANKA_141930	1	1	2
PBANKA_142200	1	1	2
PBANKA_142290	1	1	2
PBANKA_142860	1	1	2
PBANKA_143030	1	1	2
PBANKA_143070	1	1	2
PBANKA_143500	1	1	2
PBANKA_143630	1	1	2
PBANKA_143640	1	1	2
PBANKA_143770	1	1	2
PBANKA_144420	1	1	2
PBANKA_144480	1	1	2
PBANKA_144640	1	1	2
PBANKA_145210	1	1	2
PBANKA_145390	1	1	2
PBANKA_146130	1	1	2
PBANKA_146330	1	1	2
PBANKA_100440	1	1	2
PBANKA_132380	1	1	2
PBANKA_052190	1	1	2
PBANKA_093040	1	1	2
PBANKA_101540	1	1	2
PBANKA_112320	1	1	2
PBANKA_135250	1	1	2
PBANKA_134630	1	1	2
PBANKA_094340	1	1	2
PBANKA_144930	1	1	2
PBANKA_132170	1	1	2
PBANKA_081910	1	1	2
PBANKA_141020	1	1	2
PBANKA_051200	1	1	2
PBANKA_133460	1	1	2
PBANKA_080620	1	1	2
PBANKA_122950	1	1	2
PBANKA_124280	1	1	2
PBANKA_062250	1	1	2
PBANKA_052390	1	1	2
PBANKA_103540	1	1	2
PBANKA_111530	1	1	2
PBANKA_143760	1	1	2
PBANKA_145730	1	1	2
PBANKA_136430	1	1	2
PBANKA_136090	1	1	2
PBANKA_102520	1	1	2
PBANKA_110190	1	1	2
PBANKA_031000	1	1	2
PBANKA_021480	1	1	2
PBANKA_120200	1	1	2
PBANKA_121910	1	1	2
PBANKA_040270	1	1	2
PBANKA_041760	1	1	2
PBANKA_131950	1	1	2
PBANKA_111770	1	1	2
PBANKA_070710	1	1	2
PBANKA_081570	1	1	2
PBANKA_124210	1	1	2
PBANKA_082600	1	1	2
PBANKA_092110	1	1	2
PBANKA_051520	1	1	2
PBANKA_141430	1	1	2
PBANKA_145950	1	1	2
PBANKA_114340	1	1	2
PBANKA_124110	1	1	2
PBANKA_090310	1	1	2
PBANKA_103470	1	1	2
PBANKA_103340	1	1	2
PBANKA_020060	1	1	2
PBANKA_021490	1	1	2
PBANKA_110090	1	1	2
PBANKA_093220	1	1	2
PBANKA_124330	1	1	2
PBANKA_112040	1	1	2
PBANKA_050270	1	1	2
PBANKA_143490	1	1	2
PBANKA_133370	1	1	2
PBANKA_135590	1	1	2
PBANKA_050690	1	1	2
PBANKA_040970	1	1	2
PBANKA_051760	1	1	2
PBANKA_132910	1	1	2
PBANKA_020040	1	1	2
PBANKA_072260	1	1	2
PBANKA_146510	1	1	2
PBANKA_120510	1	1	2
PBANKA_051410	1	1	2
PBANKA_083070	1	1	2
PBANKA_141450	1	1	2
PBANKA_131880	1	1	2
PBANKA_142700	1	1	2
PBANKA_031100	1	1	2
PBANKA_070900	1	1	2
PBANKA_146000	1	1	2
PBANKA_093950	1	1	2
PBANKA_051380	1	1	2
PBANKA_140730	1	1	2
PBANKA_123010	1	1	2
PBANKA_031580	1	1	2
PBANKA_112140	1	1	2
PBANKA_051470	1	1	2
PBANKA_142950	1	1	2
PBANKA_071790	1	1	2
PBANKA_120080	1	1	2
PBANKA_070750	1	1	2
PBANKA_082310	1	1	2
PBANKA_123360	1	1	2
PBANKA_142170	1	1	2
PBANKA_112900	1	1	2
PBANKA_102700	1	1	2
PBANKA_030500	1	1	2
PBANKA_031140	1	1	2
PBANKA_082850	1	1	2
PBANKA_145310	1	1	2
PBANKA_112400	1	1	2
PBANKA_081070	1	1	2
PBANKA_082570	1	1	2
PBANKA_132090	1	1	2
PBANKA_131320	1	1	2
PBANKA_134760	1	1	2
PBANKA_124460	1	1	2
PBANKA_080650	1	1	2
PBANKA_103360	1	1	2
PBANKA_071200	1	1	2
PBANKA_081610	1	1	2
PBANKA_102970	1	1	2
PBANKA_040420	1	1	2
PBANKA_122890	1	1	2
PBANKA_060860	1	1	2
PBANKA_113490	1	1	2
PBANKA_143340	1	1	2
PBANKA_145800	1	1	2
PBANKA_010830	1	1	2
PBANKA_092730	1	1	2
PBANKA_112550	1	1	2
PBANKA_090010	1	1	2
PBANKA_093150	1	1	2
PBANKA_144510	1	1	2
PBANKA_061160	1	1	2
PBANKA_140800	1	1	2
PBANKA_100310	1	1	2
PBANKA_083300	1	0	1
PBANKA_071690	0	1	1
PBANKA_110790	1	0	1
PBANKA_143270	0	1	1
PBANKA_101140	0	1	1
PBANKA_136000	0	1	1
PBANKA_113720	0	1	1
PBANKA_100280	1	0	1
PBANKA_030910	0	1	1
PBANKA_111050	1	0	1
PBANKA_060280	1	0	1
PBANKA_130990	0	1	1
PBANKA_123210	0	1	1
PBANKA_103620	0	1	1
PBANKA_132950	1	0	1
PBANKA_082340	0	1	1
PBANKA_110860	0	1	1
PBANKA_120940	0	1	1
PBANKA_135850	1	0	1
PBANKA_110780	0	1	1
PBANKA_070270	0	1	1
PBANKA_111780	1	0	1
PBANKA_141300	1	0	1
PBANKA_031330	1	0	1
PBANKA_110650	1	0	1
PBANKA_131230	1	0	1
PBANKA_133990	1	0	1
PBANKA_020700	0	1	1
PBANKA_110310	0	1	1
PBANKA_131340	0	1	1
PBANKA_100810	0	1	1
PBANKA_145990	0	1	1
PBANKA_132410	0	1	1
PBANKA_130430	1	0	1
