cluster_id	target	count_both	count_only_cluster	count_only_target	count_none	p.value	odds.ratio	fdr
0	FALSE	2366	474	1852	553	1.19266723144673e-08	1.49031718224645	7.66714648787185e-08
0	AP2-O	172	2668	308	2097	3.09787035514276e-17	0.438990960170763	4.1238255030559e-16
0	AP2-O3	290	2550	225	2180	0.305951367795512	1.10183201485588	0.458927051693268
0	AP2-FG	164	2676	137	2268	0.952507297325674	1.01456420137573	0.996809962317565
0	AP2-O4	25	2815	33	2372	0.11115729477458	0.638417589275826	0.208419927702337
1	FALSE	178	24	4040	1003	0.00373983653029415	1.8410886484865	0.014024386988603
1	AP2-O	16	186	464	4579	0.619182483218318	0.8489033385938	0.716582873802454
1	AP2-O3	7	195	508	4535	0.000983247766271408	0.320507730918474	0.00402237722565576
1	AP2-FG	5	197	296	4747	0.0432528668257042	0.407083228944904	0.102441000376668
1	AP2-O4	0	202	58	4985	0.172437762859937	0	0.287396271433228
2	FALSE	220	61	3998	966	0.354147100074124	0.87142057729553	0.501571067652305
2	AP2-O	17	264	463	4501	0.0699232053594509	0.626045896954642	0.148320606283073
2	AP2-O3	40	241	475	4489	0.0133121155631285	1.56838553309925	0.0427889428814845
2	AP2-FG	13	268	288	4676	0.508978482779033	0.787577021163519	0.619027884460986
2	AP2-O4	5	276	53	4911	0.2380698999665	1.67841368060209	0.369418810292845
3	FALSE	524	109	3694	918	0.121268148744268	1.1946312785535	0.218282667739683
3	AP2-O	35	598	445	4167	0.000520111537619598	0.548121241602669	0.00256151134471336
3	AP2-O3	61	572	454	4158	0.943211938324077	0.976703793487512	0.996809962317565
3	AP2-FG	51	582	250	4362	0.010443472361213	1.52880167335173	0.0361504812503526
3	AP2-O4	3	630	55	4557	0.151579234468517	0.394594425487105	0.262348675041663
4	FALSE	415	66	3803	961	0.000569224743269635	1.58873008139911	0.00256151134471336
4	AP2-O	3	478	477	4287	3.66562266938302e-17	0.0564186592942178	4.1238255030559e-16
4	AP2-O3	42	439	473	4291	0.468991100838585	0.867947495880692	0.586238876048232
4	AP2-FG	38	443	263	4501	0.0390849881905153	1.4678946332957	0.0977124704762883
4	AP2-O4	3	478	55	4709	0.365797556124518	0.537402537670957	0.501571067652305
5	FALSE	259	203	3959	824	2.54842045579433e-36	0.265638164229252	5.73394602553725e-35
5	AP2-O	178	284	302	4481	4.03256573517281e-76	9.29229981102889	1.81465458082777e-74
5	AP2-O3	40	422	475	4308	0.413512555577674	0.859689571295974	0.547296029441039
5	AP2-FG	16	446	285	4498	0.0272860097318661	0.566237491173924	0.0722276728196457
5	AP2-O4	21	441	37	4746	6.82910855792794e-09	6.10389831666027	5.12183141844596e-08
6	FALSE	184	74	4034	953	0.000280556182449739	0.587481482807471	0.00157812852627978
6	AP2-O	56	202	424	4563	2.95097333870303e-10	2.98234755039753	2.65587600483272e-09
6	AP2-O3	23	235	492	4495	0.747164304045434	0.894176668695848	0.820058382488891
6	AP2-FG	8	250	293	4694	0.072512296405058	0.512705645966294	0.148320606283073
6	AP2-O4	1	257	57	4930	0.367818782945024	0.336586070117572	0.501571067652305
7	FALSE	38	2	4180	1025	0.0154253892020768	4.6582840546124	0.0462761676062305
7	AP2-O	0	40	480	4725	0.0471818940585723	0	0.106159261631788
7	AP2-O3	2	38	513	4692	0.426909316717974	0.481429475552597	0.548883407208824
7	AP2-FG	1	39	300	4905	0.727239143288766	0.419278987595732	0.818144036199862
7	AP2-O4	0	40	58	5147	1	0	1
8	FALSE	34	14	4184	1013	0.100170844542148	0.588058260274209	0.195986434973768
8	AP2-O	3	45	477	4720	0.621038490628794	0.659732711199201	0.716582873802454
8	AP2-O3	10	38	505	4692	0.0230654236110567	2.44451179101415	0.0648715039060971
8	AP2-FG	5	43	296	4901	0.196525208024132	1.92499998606299	0.315844084324498
8	AP2-O4	0	48	58	5139	1	0	1
