Geneid	Gene_name	6cluster	Description/function
PBANKA_0514900	P28	-	ookinete surface protein P28
PBANKA_1432200	MDV1	-	male development gene 1
PBANKA_0515000	P25	-	ookinete surface protein P25
PBANKA_0905900	AP2-O	1	AP2 domain transcription factor AP2-O
PBANKA_1319500	CCP2	2	LCCL domain-containing protein
PBANKA_0417600	CCp4	2	LCCL domain-containing protein
PBANKA_1315300	LAP5	2	LCCL domain-containing protein
PBANKA_1436600	IMC1h	2	inner membrane complex protein 1h
PBANKA_1217700	DOZI	-	ATP-dependent RNA helicase DDX6
PBANKA_1301300	CITH	-	trailer hitch homolog
PBANKA_1300700	CCp1	-	LCCL domain-containing protein
PBANKA_1035200	CCp3	-	LCCL domain-containing protein
PBANKA_0204500	CCp5	1	LCCL domain-containing protein, putative
PBANKA_1414900	SAS6L	1	SAS6-like protein
PBANKA_1415700	AP2-FG	1	AP2 domain transcription factor AP2-FG
PBANKA_1302800	TPx1	-	thioredoxin peroxidase 1
PBANKA_0314200	CDPK1	-	calcium-dependent protein kinase 1
PBANKA_1228900	WARP	3	von Willebrand factor A domain-related protein
PBANKA_1312700	GEST	-	gamete egress and sporozoite traversal protein
PBANKA_0800500	CHT1	3	chitinase
PBANKA_1037800	SOAP	3	secreted ookinete adhesive protein
PBANKA_0905200	Cap93	3	oocyst capsule protein Cap93
PBANKA_0412900	CTRP	3	circumsporozoite- and TRAP-related protein
PBANKA_1001800	AP2-SP2	5	AP2 domain transcription factor AP2-SP2
PBANKA_1436100	HP1	-	heterochromatin protein 1
PBANKA_0615200	CDPK4	-	calcium-dependent protein kinase 4
PBANKA_1227400	CNA	-	serine/threonine protein phosphatase 2B catalytic subunit A
PBANKA_1363700	AP2-O4	3	AP2 domain transcription factor AP2-O4
PBANKA_0402600	IMC1a	3	inner membrane complex protein 1a
PBANKA_0620600	CPH1	-	protein CPH1, putative
