Top 20 Gene Hits DE Genes

gene_id	logFC	logCPM	PValue	FDR	contrast	description

24h vs 16h
PBANKA_1019520	14.3866292403343	10.4196813493889	3.44536273876328e-19	1.13154527730331e-15	h24vs16	small nucleolar RNA snoR26
PBANKA_0201051	4.87288171290056	6.78532455554572	4.56636512228938e-19	1.13154527730331e-15	h24vs16	conserved rodent malaria protein, unknown function
PBANKA_1019380	12.9256040706759	10.5541189936934	1.16938274517839e-12	1.9318202950347e-09	h24vs16	small nucleolar RNA snoR27
PBANKA_0612841	13.4116255735064	9.45818575990134	4.11400817041233e-12	5.09725612314088e-09	h24vs16	tRNA Alanine
PBANKA_0600071	13.8404346954036	10.4380101536923	9.95988712931515e-12	9.87224012257717e-09	h24vs16	conserved rodent malaria protein, unknown function
PBANKA_1451400	-8.51187899535368	7.63779743825495	2.38085399691516e-11	1.96658540145192e-08	h24vs16	protein-S-isoprenylcysteine O-methyltransferase, putative
PBANKA_1114051	14.3985718915339	11.6512430406629	5.4250741460401e-11	3.84095249539639e-08	h24vs16	tRNA Phenylalanine
PBANKA_0909800	2.52045660717262	8.35964814433341	6.3026670711314e-11	3.9045022505659e-08	h24vs16	RNA-binding protein, putative
PBANKA_1466141	12.763194486015	9.21891047524197	2.38234671761008e-10	1.31187892583062e-07	h24vs16	fam-a protein
PBANKA_0100041	4.6874993300841	5.1847532089011	3.3204208796371e-10	1.64560058794815e-07	h24vs16	conserved rodent malaria protein, unknown function
PBANKA_1125100	2.90470230375648	6.29901207675434	3.90608196067305e-10	1.75986747246324e-07	h24vs16	3-oxoacyl-acyl-carrier protein synthase, putative
PBANKA_0412900	3.09215547698509	13.751559727985	5.05978701215183e-10	2.02889050514488e-07	h24vs16	circumsporozoite- and TRAP-related protein
PBANKA_0410650	2.8576626832333	9.12127235458436	5.32194845982313e-10	2.02889050514488e-07	h24vs16	conserved Plasmodium protein, unknown function
PBANKA_1365721	4.29047853785291	5.69932470041576	6.79061589491179e-10	2.40387802679878e-07	h24vs16	conserved rodent malaria protein, unknown function
PBANKA_1019580	12.197543242806	8.43329618803601	9.19156077243227e-10	3.03689167921162e-07	h24vs16	small nucleolar RNA snoR23
