cluster_id	target	count_both	count_only_cluster	count_only_target	count_none	p.value	odds.ratio	fdr
0	FALSE	2724	116	2284	121	0.109294516626914	1.24399389839089	0.327883549880741
0	cith	116	2724	121	2284	0.109294516626914	0.803862463709437	0.327883549880741
1	FALSE	197	5	4811	232	0.222563958313247	1.89990691588852	0.500768906204806
1	cith	5	197	232	4811	0.222563958313247	0.526341575809433	0.500768906204806
2	FALSE	267	14	4741	223	0.657828673644403	0.897084172110536	0.852846290597967
2	cith	14	267	223	4741	0.657828673644403	1.1147225991596	0.852846290597967
3	FALSE	605	28	4403	209	1	1.02563713561722	1
3	cith	28	605	209	4403	1	0.975003697967907	1
4	FALSE	449	32	4559	205	0.027671842237287	0.630998441133658	0.249046580135583
4	cith	32	449	205	4559	0.027671842237287	1.58478996905823	0.249046580135583
5	FALSE	434	28	4574	209	0.100140637348364	0.708298150210921	0.327883549880741
5	cith	28	434	209	4574	0.100140637348364	1.41183483212855	0.327883549880741
6	FALSE	248	10	4760	227	0.758085591642638	1.18266824983511	0.852846290597967
6	cith	10	248	227	4760	0.758085591642638	0.845545655038448	0.852846290597967
7	FALSE	37	3	4971	234	0.426059994217044	0.580646153625248	0.76690798959068
7	cith	3	37	234	4971	0.426059994217044	1.72221927891286	0.76690798959068
8	FALSE	47	1	4961	236	0.724323604094965	2.23559673689136	0.852846290597967
8	cith	1	47	236	4961	0.724323604094966	0.44730786348817	0.852846290597967
