gene_id	groups	description
PBANKA_0000600	1	PIR protein
PBANKA_0008101	1	fam-a protein
PBANKA_0008201	1	PIR protein
PBANKA_0100041	1	conserved rodent malaria protein, unknown function
PBANKA_0102000	1	mitochondrial chaperone BCS1, putative
PBANKA_0103100	1	conserved Plasmodium protein, unknown function
PBANKA_0105400	1	coatomer alpha subunit, putative
PBANKA_0112300	1	filamin domain-containing protein, putative
PBANKA_0112621	1	PIR protein, pseudogene
PBANKA_0201051	1	conserved rodent malaria protein, unknown function
PBANKA_0201300	1	lysophospholipase, putative
PBANKA_0201400	1	fam-a protein, pseudogene
PBANKA_0207600	1	asparagine-rich antigen, putative
PBANKA_0211300	1	cysteine desulfurase IscS, putative
PBANKA_0213400	1	60S ribosomal export protein NMD3, putative
PBANKA_0213700	1	COX assembly mitochondrial protein, putative
PBANKA_0215900	1	PIR protein, pseudogene
PBANKA_0216000	1	PIR protein
PBANKA_0304700	1	serine repeat antigen 5
PBANKA_0305500	1	conserved Plasmodium protein, unknown function
PBANKA_0306700	1	transporter, putative
PBANKA_0312100	1	conserved Plasmodium protein, unknown function
PBANKA_0317121	1	fam-a protein, pseudogene
PBANKA_0400800	1	fam-a protein, pseudogene
PBANKA_0401200	1	ABC transporter B family member 4, putative
PBANKA_0403500	1	elongation factor (EF-TS), putative
PBANKA_0405900	1	conserved Plasmodium protein, unknown function
PBANKA_0407500	1	N2227-like protein, putative
PBANKA_0410561	1	tRNA Isoleucine
PBANKA_0416300	1	nucleoporin NUP221
PBANKA_0418500	1	Plasmodium exported protein, unknown function
PBANKA_0503200	1	eukaryotic translation initiation factor subunit eIF2A, putative
PBANKA_0508000	1	conserved Plasmodium protein, unknown function
PBANKA_0511100	1	conserved Plasmodium protein, unknown function
PBANKA_0515100	1	conserved Plasmodium protein, unknown function
PBANKA_0515350	1	OTU-like cysteine protease, putative
PBANKA_0516900	1	S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative
PBANKA_0518800	1	U2 snRNA/tRNA pseudouridine synthase, putative
PBANKA_0520300	1	conserved Plasmodium protein, unknown function
PBANKA_0521700	1	AP2 domain transcription factor, putative
PBANKA_0523200	1	serpentine receptor, putative
PBANKA_0600041	1	PIR protein
PBANKA_0600061	1	fam-b protein
PBANKA_0600071	1	conserved rodent malaria protein, unknown function
PBANKA_0600091	1	fam-c protein
PBANKA_0601000	1	ATP-dependent DNA/RNA helicase PSH2, putative
PBANKA_0604200	1	zinc finger protein, putative
PBANKA_0611000	1	trafficking protein particle complex subunit 5, putative
PBANKA_0612841	1	tRNA Alanine
PBANKA_0615500	1	conserved Plasmodium protein, unknown function
PBANKA_0618500	1	conserved Plasmodium protein, unknown function
PBANKA_0703000	1	magnesium transporter, putative
PBANKA_0722100	1	PIR protein, pseudogene
PBANKA_0722700	1	PIR protein, pseudogene
PBANKA_0722921	1	PIR protein
PBANKA_0801900	1	methyltransferase, putative
PBANKA_0803600	1	importin-7, putative
PBANKA_0804341	1	tRNA Histidine
PBANKA_0804900	1	E3 ubiquitin-protein ligase, putative
PBANKA_0808000	1	cdc2-related protein kinase 4, putative
PBANKA_0810200	1	conserved Plasmodium protein, unknown function
