cluster_id	target	count_both	count_only_cluster	count_only_target	count_none	p.value	fdr
0	FALSE	2366	474	1852	553	1.19266723144673e-08	7.66714648787185e-08
0	AP2-O	172	2668	308	2097	3.09787035514276e-17	4.1238255030559e-16
1	FALSE	178	24	4040	1003	0.00373983653029415	0.014024386988603
1	AP2-O3	7	195	508	4535	0.000983247766271408	0.00402237722565576
1	AP2-FG	5	197	296	4747	0.0432528668257042	0.102441000376668
2	AP2-O3	40	241	475	4489	0.0133121155631285	0.0427889428814845
3	AP2-O	35	598	445	4167	0.000520111537619598	0.00256151134471336
3	AP2-FG	51	582	250	4362	0.010443472361213	0.0361504812503526
4	FALSE	415	66	3803	961	0.000569224743269635	0.00256151134471336
4	AP2-O	3	478	477	4287	3.66562266938302e-17	4.1238255030559e-16
4	AP2-FG	38	443	263	4501	0.0390849881905153	0.0977124704762883
5	FALSE	259	203	3959	824	2.54842045579433e-36	5.73394602553725e-35
5	AP2-O	178	284	302	4481	4.03256573517281e-76	1.81465458082777e-74
5	AP2-FG	16	446	285	4498	0.0272860097318661	0.0722276728196457
5	AP2-O4	21	441	37	4746	6.82910855792794e-09	5.12183141844596e-08
6	FALSE	184	74	4034	953	0.000280556182449739	0.00157812852627978
6	AP2-O	56	202	424	4563	2.95097333870303e-10	2.65587600483272e-09
7	FALSE	38	2	4180	1025	0.0154253892020768	0.0462761676062305
7	AP2-O	0	40	480	4725	0.0471818940585723	0.106159261631788
8	AP2-O3	10	38	505	4692	0.0230654236110567	0.0648715039060971
