cluster_id	target	count_both	count_only_cluster	count_only_target	count_none	p.value	fdr
0	FALSE	2820	20	2382	23	0.357486807950919	0.742398891184617
0	Conoid/apical	20	2820	23	2382	0.357486807950919	0.742398891184617
1	FALSE	202	0	5000	43	0.412443828435898	0.742398891184617
1	Conoid/apical	0	202	43	5000	0.412443828435898	0.742398891184617
2	FALSE	279	2	4923	41	1	1
2	Conoid/apical	2	279	41	4923	1	1
3	FALSE	625	8	4577	35	0.233436191456558	0.742398891184617
3	Conoid/apical	8	625	35	4577	0.233436191456557	0.742398891184617
4	FALSE	472	9	4730	34	0.014203779304299	0.127834013738691
4	Conoid/apical	9	472	34	4730	0.014203779304299	0.127834013738691
5	FALSE	458	4	4744	39	0.788474214849544	1
5	Conoid/apical	4	458	39	4744	0.788474214849544	1
6	FALSE	258	0	4944	43	0.272428867076179	0.742398891184617
6	Conoid/apical	0	258	43	4944	0.272428867076179	0.742398891184617
7	FALSE	40	0	5162	43	1	1
7	Conoid/apical	0	40	43	5162	1	1
8	FALSE	48	0	5154	43	1	1
8	Conoid/apical	0	48	43	5154	1	1
