cluster_id	target	count_both	count_only_cluster	count_only_target	count_none	p.value	fdr
1	FALSE	124	78	1135	2476	2.34604595798543e-17	4.28046748879705e-15
1	Genes coding for components involved in ribosome assembly	5	197	127	3484	0.554023846224947	1
1	mRNA degradation	3	199	26	3585	0.196485476668798	0.91170462817262
1	Splicing of pre-mRNA	3	199	103	3508	0.374949917660342	1
1	RNA Degradation Factors	4	198	35	3576	0.149197635555452	0.845874730394895
1	Phosphoproteome - Treeck et al 2011	41	161	813	2798	0.489097222413616	1
1	Phosphoproteome - Pease et al 2013	31	171	568	3043	1	1
1	S-nitrosylated proteins	6	196	241	3370	0.0383464421073685	0.427562829497158
1	S-Glutathionylated proteins	8	194	287	3324	0.0411451385216521	0.43408361474488
1	Transcription related proteins encoding genes	7	195	162	3449	0.599864172698256	1
1	Translation in prokaryotes � a template for apicoplast and mitochondrion	4	198	44	3567	0.320253866485382	1
1	Nuclear genes with apicoplast signal sequences	11	191	219	3392	0.879067001296724	1
1	Terpenoid metabolism	0	202	13	3598	1	1
1	N-myristoylation_ S-acylation and prenylation of proteins	0	202	20	3591	0.622389678716757	1
1	Proteins of detergent-resistant membranes	3	199	102	3509	0.373855133046029	1
1	Genes coding for transport proteins	9	193	123	3488	0.425334186492258	1
1	Chromatin modifying proteins	1	201	30	3581	1	1
1	Histone lysine methylation	1	201	15	3596	0.582165578797149	1
1	Plasmodium falciparum chromatin landscape	1	201	17	3594	1	1
1	Topogenesis of the Rieske FeS protein	2	200	8	3603	0.0949621205908747	0.69955161028924
1	Nuclear genes with mitochondrial signal sequences	9	193	261	3350	0.158086163206863	0.861058481992835
1	Porphyrin metabolism	1	201	16	3595	0.60439432598782	1
1	Pyrimidine metabolism	0	202	21	3590	0.624520145596657	1
1	Mitochondrial electron flow	0	202	24	3587	0.63558136526112	1
1	Phosphoproteome - Lasonder et al 2011	20	182	486	3125	0.165818263244762	0.861058481992835
1	Established and putative Maurer�s clefts proteins	1	201	48	3563	0.517804574679171	1
1	The acidocalcisome	4	198	32	3579	0.120383176500845	0.764585554548091
1	ATP-dependent chromatin remodeling complexes	0	202	34	3577	0.258505773965673	0.995802991004494
1	Phenylalanine and Tyrosine metabolism	0	202	9	3602	1	1
1	Modification of proteins by adenylylation and ADP-ribosylation	0	202	48	3563	0.179936698176245	0.885129787352262
1	Protein biosynthesis	0	202	55	3556	0.117643801466057	0.763016298221872
1	DNA binding proteins with AP2 domain(s)	2	200	17	3594	0.266584875118339	1
1	Heterochromatin structure of the telomeric and subtelomeric regions	0	202	5	3606	1	1
1	Total palmitome of Plasmodium falciparum	3	199	306	3305	5.26563572378822e-05	0.00234847353280955
1	Ribosomal structure	1	201	144	3467	0.00675729570072157	0.127942381805172
1	Glyoxalase metabolism	0	202	6	3605	1	1
1	The phosphoproteome of Plasmodium falciparum infected RBCs	10	192	304	3307	0.0870096341714677	0.666520365580671
1	Proteins involved in steps during passage through prophase	0	202	21	3590	0.624520145596657	1
1	Protein phosphorylation	3	199	74	3537	0.7975157539944	1
1	Protein kinase coding genes	4	198	80	3531	1	1
1	Pre-replicative complex formation and transition to replication	0	202	20	3591	0.622389678716757	1
1	Dolichol metabolism	0	202	6	3605	1	1
1	Purine metabolism	1	201	32	3579	1	1
1	Double strand break repair and homologous recombination	0	202	11	3600	1	1
1	Genes involved in excision-repair	1	201	77	3534	0.127218496313347	0.783213257978182
1	Genes coding for enzymes/proteins involved in DNA replication	1	201	57	3554	0.369732143073869	1
1	Fatty acids elongation in the endoplasmic reticulum	0	202	12	3599	1	1
1	Fatty acid synthesis in the apicoplast	2	200	26	3585	0.658162162600936	1
1	Genes coding for components of the proteasome degradation machinery & their timed transcription	4	198	100	3511	0.658491588056531	1
1	Subcellular location of adaptor proteins	3	199	22	3589	0.143559929920004	0.835313724489376
1	Classical COPI-mediated vesicular transport	1	201	29	3582	1	1
1	Genes coding for protein traffic related proteins	3	199	57	3554	1	1
1	Thioredoxin_ Glutaredoxin and Peroxiredoxin	0	202	24	3587	0.63558136526112	1
1	Redox Metabolism	0	202	35	3576	0.258873996444896	0.995802991004494
1	Initiation of translation	2	200	40	3571	1	1
1	Quality control mechanisms during ribosome maturation	0	202	12	3599	1	1
1	Signaling machinery in malaria parasites	0	202	17	3594	1	1
1	Ubiquinone metabolism	1	201	6	3605	0.317046988900855	1
1	Import of proteins into the mitochondrion	2	200	23	3588	0.385207282725873	1
1	Peptidases and proteases	6	196	106	3505	1	1
1	Genes coding for chaperones and their regulators	0	202	102	3509	0.00609826956485315	0.117684875160195
1	Centrosome proteins	0	202	75	3536	0.0326658756939854	0.376783979987521
1	Tubulin and microtubules	0	202	24	3587	0.63558136526112	1
1	Proteins targeted by the thioredoxin superfamily enzymes	1	201	37	3574	0.72057289189892	1
1	Arginine and proline metabolism	0	202	6	3605	1	1
1	Pyridoxal phosphate (Vitamin B6) metabolism	2	200	20	3591	0.326566245904256	1
1	Transporters of the plasma membrane	4	198	57	3554	0.563421526451596	1
1	Mitochondrial TCA cycle	0	202	18	3593	0.621068959244392	1
1	Possible paths for apoptosis	0	202	20	3591	0.622389678716757	1
