cluster_id	target	count_both	count_only_cluster	count_only_target	count_none	p.value	fdr
1	FALSE	124	78	1135	2476	2.34604595798543e-17	4.28046748879705e-15
1	Total palmitome of Plasmodium falciparum	3	199	306	3305	5.26563572378822e-05	0.00234847353280955
1	Ribosomal structure	1	201	144	3467	0.00675729570072157	0.127942381805172
1	Genes coding for chaperones and their regulators	0	202	102	3509	0.00609826956485315	0.117684875160195
2	FALSE	158	123	1101	2431	1.3007099387786e-16	2.17543737260721e-14
2	Phosphoproteome - Treeck et al 2011	39	242	815	2717	0.000253717859069622	0.00936761181576469
2	Phosphoproteome - Pease et al 2013	23	258	576	2956	0.000162173248056691	0.00650963417699558
2	Transcription related proteins encoding genes	3	278	166	3366	0.00218700902746686	0.0522538942634045
2	Nuclear genes with apicoplast signal sequences	7	274	223	3309	0.00608759892460749	0.117684875160195
2	Nuclear genes with mitochondrial signal sequences	6	275	264	3268	0.000240216897495475	0.00927144833218113
2	Phosphoproteome - Lasonder et al 2011	19	262	487	3045	0.000475388639047729	0.0161712711621829
2	The phosphoproteome of Plasmodium falciparum infected RBCs	11	270	303	3229	0.00454095667825153	0.0939556706520703
2	Putative organization of the kinetochore	9	272	26	3506	0.000720620444552734	0.0229569084478943
2	Maturation and export of 60S and 40S ribosomal subunits	0	281	87	3445	0.00263701448749722	0.0608331962805393
2	Structure of the mitotic centrosome	10	271	20	3512	3.21638406879982e-05	0.00150122856420494
2	Centriole proteins	6	275	13	3519	0.00181281653114373	0.0454790347250682
2	Molecular motor prototypes	8	273	33	3499	0.00883568054278101	0.161211007721468
2	Kinetochores power chromosome movements in mitosis	12	269	27	3505	1.30520107415149e-05	0.000707983393465416
2	Regulation of spindle microtubule dynamics	9	272	36	3496	0.00470825723138325	0.0954492147816786
3	FALSE	346	287	913	2267	6.37100702579905e-35	4.43969363618824e-32
3	Splicing of pre-mRNA	6	627	100	3080	0.00126870994807675	0.0344094711593249
3	Phosphoproteome - Treeck et al 2011	72	561	782	2398	1.47507784029926e-14	2.2772932503697e-12
3	Phosphoproteome - Pease et al 2013	57	576	542	2638	1.19361411031553e-07	1.08890159972876e-05
3	S-nitrosylated proteins	14	619	233	2947	1.9292256763844e-07	1.68345910108847e-05
3	S-Glutathionylated proteins	23	610	272	2908	6.35646894573507e-06	0.000364498090688294
3	Phosphoproteome - Lasonder et al 2011	49	584	457	2723	2.56475990292367e-06	0.000166047520166704
3	Total palmitome of Plasmodium falciparum	24	609	285	2895	3.18551537455117e-06	0.000188039098727182
3	Ribosomal structure	10	623	135	3045	0.000848416957130784	0.0254145198949475
3	The phosphoproteome of Plasmodium falciparum infected RBCs	30	603	284	2896	0.000256710837004015	0.00936761181576469
3	Genes coding for components of the proteasome degradation machinery & their timed transcription	5	628	99	3081	0.000414341365195678	0.0143376399990987
3	Centrosome proteins	4	629	71	3109	0.00460731678517344	0.0943559672228887
3	Chaperone-assisted protein folding	3	630	68	3112	0.00204949294332402	0.0506036334844748
4	FALSE	245	236	1014	2318	3.29483887870124e-18	6.61274162955339e-16
4	Genes coding for components involved in ribosome assembly	6	475	126	3206	0.00296456375560974	0.0653832907418543
4	S-nitrosylated proteins	18	463	229	3103	0.00730251208103005	0.134460016024104
4	S-Glutathionylated proteins	10	471	285	3047	2.46656622165263e-08	2.47519920342841e-06
4	Nuclear genes with mitochondrial signal sequences	17	464	253	3079	0.000591647127799067	0.0194661604179136
4	Ribosomal structure	2	479	143	3189	1.17490828336273e-06	8.1311756024448e-05
4	Maturation and export of 60S and 40S ribosomal subunits	2	479	85	3247	0.00150735514654749	0.0387854074246257
4	Kinetochores power chromosome movements in mitosis	11	470	28	3304	0.00699338228407648	0.129960354112421
4	Regulation of spindle microtubule dynamics	13	468	32	3300	0.00275367639869883	0.0620969497998714
0	FALSE	0	1408	1259	1146	0	0
0	Genes coding for components involved in ribosome assembly	69	1339	63	2342	0.000310968528610351	0.0111448899450174
0	Splicing of pre-mRNA	61	1347	45	2360	1.41786186711317e-05	0.000748854938762139
0	Phosphoproteome - Treeck et al 2011	471	937	383	2022	6.636313357531e-35	4.43969363618824e-32
0	Phosphoproteome - Pease et al 2013	330	1078	269	2136	7.97588959003609e-23	2.3827658712491e-20
0	S-nitrosylated proteins	165	1243	82	2323	7.74781426795345e-23	2.3827658712491e-20
0	S-Glutathionylated proteins	199	1209	96	2309	2.34075993855074e-28	1.17447629916783e-25
0	Transcription related proteins encoding genes	89	1319	80	2325	2.76474123740771e-05	0.00132115134844697
0	Nuclear genes with apicoplast signal sequences	122	1286	108	2297	3.16197787982871e-07	2.53843584192649e-05
0	Proteins of detergent-resistant membranes	61	1347	44	2361	8.35433461220392e-06	0.000465754154630368
0	Nuclear genes with mitochondrial signal sequences	154	1254	116	2289	3.57171647576876e-12	5.12031069061993e-10
0	Mitochondrial electron flow	18	1390	6	2399	0.000175477597838424	0.00690555958552385
0	Phosphoproteome - Lasonder et al 2011	279	1129	227	2178	3.72383365001625e-19	9.34216766947826e-17
0	Established and putative Maurer�s clefts proteins	29	1379	20	2385	0.00158734069319459	0.0403264907752093
0	ATP-dependent chromatin remodeling complexes	21	1387	13	2392	0.00375518235448398	0.0801771381430783
0	Modification of proteins by adenylylation and ADP-ribosylation	29	1379	19	2386	0.00129347535074177	0.0346134003858498
0	Protein biosynthesis	39	1369	16	2389	3.14003223128458e-07	2.53843584192649e-05
0	Total palmitome of Plasmodium falciparum	196	1212	113	2292	8.3105934722191e-23	2.3827658712491e-20
0	Ribosomal structure	93	1315	52	2353	1.52057477165438e-11	2.03452904447356e-09
0	The phosphoproteome of Plasmodium falciparum infected RBCs	189	1219	125	2280	3.17515239960069e-18	6.61274162955339e-16
0	Genes involved in excision-repair	42	1366	36	2369	0.00278868211304366	0.0621876111208736
0	Genes coding for enzymes/proteins involved in DNA replication	33	1375	25	2380	0.00227840994238566	0.0537972794631532
0	Genes coding for components of the proteasome degradation machinery & their timed transcription	67	1341	37	2368	1.11757542912743e-08	1.24609660347708e-06
0	Classical COPI-mediated vesicular transport	22	1386	8	2397	6.91360359035153e-05	0.00301643530561642
0	Genes coding for protein traffic related proteins	33	1375	27	2378	0.00441468737354915	0.092294557903262
0	Initiation of translation	28	1380	14	2391	0.00013815893402493	0.00565887715485783
0	Quality control mechanisms during ribosome maturation	10	1398	2	2403	0.00135421480376141	0.0352975209240149
0	Peptidases and proteases	70	1338	42	2363	3.9994513040819e-08	3.82233274632971e-06
0	Genes coding for chaperones and their regulators	71	1337	31	2374	1.96830854089579e-11	2.46899702598615e-09
0	Proteins targeted by the thioredoxin superfamily enzymes	29	1379	9	2396	1.3028410887623e-06	8.71600688381977e-05
0	Mitochondrial TCA cycle	13	1395	5	2400	0.00271891835978813	0.0620098766828953
0	Protein arginine methylation	8	1400	2	2403	0.00697639934538071	0.129960354112421
0	RNA polymerase II transcribes mRNA	23	1385	15	2390	0.0035921780717954	0.0775215203235847
0	Maturation and export of 60S and 40S ribosomal subunits	55	1353	32	2373	7.40794527170019e-07	5.3099093429651e-05
0	Classical clathrin-mediated vesicular transport	24	1384	14	2391	0.00111700226865095	0.0315749796222881
0	Genes coding for Fe-S containing proteins	12	1396	5	2400	0.00921725990654465	0.165170005646742
0	Maturation of cytosolic and nuclear Fe-S proteins	11	1397	3	2402	0.00336738607633493	0.0734602592956979
0	Transcription and processing of snRNAs	15	1393	6	2399	0.00216997589712922	0.0522538942634045
0	Proteins containing histone post translational modification-binding modules	16	1392	9	2396	0.00645185902238524	0.123322676742163
0	Selenocysteine biosynthesis	9	1399	1	2404	0.000840291011765767	0.0254145198949475
0	Chaperone-assisted protein folding	50	1358	21	2384	1.24562737096511e-08	1.31577585975104e-06
0	Oxidative protein folding in the endoplasmic reticulum	8	1400	1	2404	0.00206751267848876	0.0506036334844748
0	Transporters of the mitochondrial and apicoplast membranes	20	1388	10	2395	0.00102582927921151	0.0294119909053929
0	Parasite encoded proteins associated with the membrane of infected erythrocytes	25	1383	9	2396	1.74791624420706e-05	0.000889285457973605
0	Large Tethering Complexes that Act in the Secretory and Endocytic Pathways	23	1385	12	2393	0.000629952745233509	0.0203921799948976
0	Biosynthesis of Fe-S proteins in the apicoplast	12	1396	2	2403	0.000248420401154139	0.00936761181576469
0	Signal recognition particle-mediated targeting of membrane and secretory proteins	10	1398	2	2403	0.00135421480376141	0.0352975209240149
0	Organization of chaperone pathways in the cytosol	19	1389	11	2394	0.00380876687448747	0.080465211758909
0	Glycolysis	19	1389	9	2396	0.00119328083293342	0.0332627032180191
0	Posttranslational translocation in eukaryotes	21	1387	6	2399	2.06552132684716e-05	0.00101109787877616
0	Classical COPII-mediated vesicular transport	18	1390	7	2398	0.000525200179170628	0.0175679459932575
0	Import and export through the nuclear pore	17	1391	7	2398	0.000975879695315185	0.0283853702680808
0	Proteins with ER retention sequences	11	1397	1	2404	0.000135136077746625	0.00565037725078074
0	ER-to Golgi_ translocation and quality control	11	1397	4	2401	0.00550996202270199	0.108483006483842
5	FALSE	216	246	1043	2308	6.4758753949903e-11	7.64534230455619e-09
5	The phosphoproteome of Plasmodium falciparum infected RBCs	20	442	294	3057	0.000772217051884321	0.0238436865097205
5	Plasmodium falciparum histone acetylation and methylation	4	458	3	3348	0.00551333665239255	0.108483006483842
5	Histone acetylation	8	454	16	3335	0.0054936755025766	0.108483006483842
5	Genes coding for GPI-anchored membrane proteins	10	452	15	3336	0.000371967170449871	0.0130971598437349
5	Lipoic acid metabolism	4	458	2	3349	0.00261196485389963	0.0608331962805393
5	Role of perforin 1 in merozoite egress	4	458	1	3350	0.00096288715356184	0.0283853702680808
6	FALSE	123	135	1136	2419	4.6528521803544e-07	3.45862012073011e-05
6	Phosphoproteome - Treeck et al 2011	27	231	827	2728	3.94724987426711e-07	3.0469732683285e-05
6	Phosphoproteome - Pease et al 2013	16	242	583	2972	3.11169782890898e-06	0.000188039098727182
6	S-nitrosylated proteins	3	255	244	3311	3.69914587530986e-05	0.00168731494812429
6	Phosphoproteome - Lasonder et al 2011	15	243	491	3064	8.74799945052257e-05	0.00373558189302102
6	Total palmitome of Plasmodium falciparum	8	250	301	3254	0.00126180081622668	0.0344094711593249
6	The phosphoproteome of Plasmodium falciparum infected RBCs	5	253	309	3246	1.77236762924485e-05	0.000889285457973605
6	Peptidases and proteases	0	258	112	3443	0.000770532410381707	0.0238436865097205
