cluster_id	target	count_both	count_only_cluster	count_only_target	count_none	p.value	fdr
0	FALSE	2756	84	2313	92	0.0903956604646075	0.271186981393822
0	DOZI	84	2756	92	2313	0.0903956604646075	0.271186981393822
1	FALSE	199	3	4870	173	0.162053583938928	0.364620563862588
1	DOZI	3	199	173	4870	0.162053583938928	0.364620563862588
2	FALSE	269	12	4800	164	0.391429568794358	0.587144353191537
2	DOZI	12	269	164	4800	0.391429568794358	0.587144353191537
3	FALSE	603	30	4466	146	0.0450229594794859	0.202603317657687
3	DOZI	30	603	146	4466	0.0450229594794859	0.202603317657687
4	FALSE	470	11	4599	165	0.229835840797738	0.413704513435928
4	DOZI	11	470	165	4599	0.229835840797738	0.413704513435928
5	FALSE	437	25	4632	151	0.0144345895519698	0.129911305967729
5	DOZI	25	437	151	4632	0.0144345895519698	0.129911305967729
6	FALSE	248	10	4821	166	0.593871166350469	0.725078116896803
6	DOZI	10	248	166	4821	0.59387116635047	0.725078116896803
7	FALSE	40	0	5029	176	0.644513881686047	0.725078116896803
7	DOZI	0	40	176	5029	0.644513881686047	0.725078116896803
8	FALSE	47	1	5022	175	1	1
8	DOZI	1	47	175	5022	1	1
