Geneid	groups	description
PBANKA_0108300	1	palmitoyltransferase DHHC2
PBANKA_0201340	1	fam-c protein
PBANKA_0201600	1	early transcribed membrane protein
PBANKA_0210100	1	vacuolar protein sorting-associated protein VTA1, putative
PBANKA_0317041	1	PIR protein
PBANKA_0317161	1	erythrocyte membrane antigen 1
PBANKA_0409700	1	plasmepsin VI, putative
PBANKA_0512000	1	palmitoyltransferase DHHC10
PBANKA_0514900	1	ookinete surface protein P28
PBANKA_0516000	1	conserved Plasmodium protein, unknown function
PBANKA_0520200	1	ADP/ATP transporter on adenylate translocase, putative
PBANKA_0521200	1	conserved Plasmodium protein, unknown function
PBANKA_0523300	1	methyltransferase, putative
PBANKA_0602800	1	ubiquitin-conjugating enzyme E2, putative
PBANKA_0606800	1	acyl carrier protein, mitochondrial, putative
PBANKA_0614700	1	conserved Plasmodium membrane protein, unknown function
PBANKA_0622700	1	mago nashi protein homologue, putative
PBANKA_0701100	1	CRA domain-containing protein, putative
PBANKA_0714400	1	EF-hand calcium-binding domain-containing protein, putative
PBANKA_0720900	1	MOLO1 domain-containing protein, putative
PBANKA_0812100	1	phosphatidylinositol N-acetylglucosaminyltransferase, putative
PBANKA_0823500	1	glutamine synthetase, putative
PBANKA_0826700	1	parasitophorous vacuolar protein 5
PBANKA_0828600	1	cytochrome c oxidase subunit 5B, putative
PBANKA_0836700	1	fam-a protein
PBANKA_0836800	1	erythrocyte membrane associated protein 1
PBANKA_0924100	1	thioredoxin-like protein, putative
PBANKA_0929700	1	haloacid dehalogenase-like hydrolase, putative
PBANKA_0932300	1	AP2 domain transcription factor, putative
PBANKA_0933400	1	GTPase-activating protein, putative
PBANKA_0934200	1	ubiquitin domain-containing protein DSK2, putative
PBANKA_0944000	1	PIR protein
PBANKA_1009900	1	conserved Plasmodium protein, unknown function
PBANKA_1013000	1	inner membrane complex suture component, putative
PBANKA_1023200	1	splicing factor 3B subunit 4, putative
PBANKA_1027000	1	serine palmitoyltransferase, putative
PBANKA_1028700	1	26S proteasome regulatory subunit RPN13, putative
PBANKA_1034400	1	plasmepsin IV
PBANKA_1035400	1	glideosome associated protein with multiple membrane spans 3, putative
PBANKA_1038100	1	DNA-directed RNA polymerase II subunit RPB4, putative
PBANKA_1038500	1	dynein light chain, putative
PBANKA_1100860	1	fam-c protein
PBANKA_1103000	1	serine/arginine-rich splicing factor 12, putative
PBANKA_1118600	1	cell division cycle protein 48 homologue, putative
PBANKA_1123000	1	conserved protein, unknown function
PBANKA_1128200	1	polyadenylate-binding protein 3, putative
PBANKA_1133000	1	DnaJ protein, putative
PBANKA_1135800	1	conserved Plasmodium protein, unknown function
PBANKA_1137700	1	cytochrome c oxidase subunit 2A, putative
PBANKA_1142900	1	suppressor of kinetochore protein 1, putative
PBANKA_1205000	1	G-strand-binding protein 2
PBANKA_1210800	1	hypoxanthine-guanine phosphoribosyltransferase, putative
PBANKA_1217800	1	signal peptidase complex subunit 2, putative
PBANKA_1219100	1	inner membrane complex protein 1d
PBANKA_1219500	1	chloroquine resistance transporter, putative
PBANKA_1232600	1	doublecortin domain-containing protein, putative
PBANKA_1233600	1	secreted ookinete protein, putative
PBANKA_1241700	1	transmembrane emp24 domain-containing protein, putative
PBANKA_1243500	1	conserved protein, unknown function
PBANKA_1301600	1	vacuole membrane protein 1, putative
PBANKA_1304800	1	conserved Plasmodium protein, unknown function
PBANKA_1305900	1	ADP-ribosylation factor, putative
PBANKA_1306000	1	replication factor A protein 3, putative
PBANKA_1313700	1	serine/threonine protein kinase, putative
PBANKA_1315200	1	pre-mRNA-splicing factor CWF18, putative
PBANKA_1318200	1	iron-sulfur cluster assembly protein ISU, putative
PBANKA_1318600	1	conserved protein, unknown function
PBANKA_1319100	1	hemolysin III, putative
PBANKA_1319600	1	polyprenol reductase, putative
PBANKA_1323300	1	pyridoxal 5'-phosphate synthase, putative
PBANKA_1325200	1	meiotic nuclear division protein 1, putative
PBANKA_1328600	1	mediator of RNA polymerase II transcription subunit 4, putative
PBANKA_1335700	1	conserved Plasmodium protein, unknown function
PBANKA_1338100	1	conserved protein, unknown function
PBANKA_1338700	1	plasmepsin V, putative
PBANKA_1338900	1	glideosome associated protein with multiple membrane spans 1, putative
PBANKA_1341100	1	conserved Plasmodium protein, unknown function
PBANKA_1352500	1	CPW-WPC family protein
PBANKA_1355700	1	myosin A
PBANKA_1359600	1	6-cysteine protein
PBANKA_1400900	1	conserved protein, unknown function
PBANKA_1406600	1	CCAAT-binding transcription factor, putative
PBANKA_1414100	1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase, putative
PBANKA_1422900	1	conserved protein, unknown function
PBANKA_1430600	1	conserved Plasmodium protein, unknown function
PBANKA_1431000	1	peptidyl-prolyl cis-trans isomerase, putative
PBANKA_1432200	1	male development gene 1
PBANKA_1432400	1	perforin-like protein 2
PBANKA_1439400	1	histone chaperone ASF1, putative
PBANKA_1441100	1	haloacid dehalogenase-like hydrolase, putative
PBANKA_1441400	1	proliferating cell nuclear antigen 2
PBANKA_1446900	1	dihydrolipoyl dehydrogenase, mitochondrial, putative
PBANKA_1455700	1	conserved Plasmodium protein, unknown function
PBANKA_1457800	1	ADP-ribosylation factor GTPase-activating protein 1, putative
PBANKA_0200400	2	Plasmodium exported protein, unknown function
PBANKA_0200600	2	fam-a protein
PBANKA_0203300	2	DNA-directed RNA polymerase II subunit RPB9, putative
PBANKA_0303500	2	PH domain-containing protein, putative
PBANKA_0317141	2	fam-a protein
PBANKA_0405400	2	40S ribosomal protein S12, putative
PBANKA_0407300	2	OMD protein
PBANKA_0418200	2	ras-related protein RAB7, putative
PBANKA_0510000	2	conserved protein, unknown function
PBANKA_0515000	2	ookinete surface protein P25
PBANKA_0616000	2	ribosomal protein S8, mitochondrial, putative
PBANKA_0702800	2	protein disulfide-isomerase, putative
PBANKA_0705900	2	lipase maturation factor, putative
PBANKA_0706700	2	dicarboxylate/tricarboxylate carrier, putative
PBANKA_0710100	2	2-oxoglutarate dehydrogenase E1 component, putative
PBANKA_0722600	2	fam-b protein
PBANKA_0811000	2	small nuclear ribonucleoprotein Sm D3, putative
PBANKA_0816700	2	cytochrome c oxidase subunit ApiCOX30, putative
PBANKA_0816800	2	glycolipid transfer protein, putative
PBANKA_0819000	2	glideosome-associated protein 50, putative
PBANKA_0821400	2	ADP-ribosylation factor, putative
PBANKA_0916700	2	conserved Plasmodium protein, unknown function
PBANKA_0919300	2	spermidine synthase, putative
PBANKA_0919800	2	bifunctional farnesyl/geranylgeranyl diphosphate synthase, putative
PBANKA_0929300	2	actin-related protein 2/3 complex subunit 1, putative
PBANKA_1010000	2	mitochondrial acidic protein MAM33, putative
PBANKA_1013800	2	cytochrome c oxidase subunit 2B, putative
PBANKA_1014500	2	plasmepsin IX, putative
PBANKA_1030300	2	nuclear transport factor 2, putative
PBANKA_1114600	2	pre-mRNA-splicing factor CWC2, putative
PBANKA_1116300	2	malate:quinone oxidoreductase, putative
PBANKA_1116500	2	mitochondrial import receptor subunit TOM40, putative
PBANKA_1126200	2	protein DJ-1, putative
PBANKA_1129000	2	secreted ookinete protein, putative
PBANKA_1134100	2	T-complex protein 1 subunit delta, putative
PBANKA_1200096	2	fam-b protein
PBANKA_1328800	2	conserved protein, unknown function
PBANKA_1334700	2	transmembrane protein 43, putative
PBANKA_1343000	2	ribose-phosphate pyrophosphokinase, putative
PBANKA_1359000	2	protein transport protein SEC61 subunit alpha, putative
PBANKA_1361800	2	conserved Plasmodium protein, unknown function
PBANKA_1401300	2	40S ribosomal protein S7, putative
PBANKA_1401600	2	methyltransferase, putative
PBANKA_1427000	2	protein phosphatase PPM7
PBANKA_1437600	2	glideosome-associated protein 45, putative
PBANKA_1453500	2	HD superfamily phosphohydrolase protein, putative
PBANKA_0001201	3	PIR protein
PBANKA_0101100	3	liver merozoite formation protein
PBANKA_0101900	3	RNA-binding protein, putative
PBANKA_0102200	3	trophozoite exported protein 1, putative
PBANKA_0103200	3	conserved protein, unknown function
PBANKA_0104700	3	elongation of fatty acids protein, putative
PBANKA_0104800	3	protein KIC1, putative
PBANKA_0105100	3	conserved Plasmodium protein, unknown function
PBANKA_0105900	3	uroporphyrinogen III decarboxylase
PBANKA_0106300	3	conserved Plasmodium protein, unknown function
PBANKA_0108100	3	conserved Plasmodium protein, unknown function
PBANKA_0109700	3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin, putative
PBANKA_0109900	3	basal complex transmembrane protein 1, putative
PBANKA_0110100	3	conserved Plasmodium protein, unknown function
PBANKA_0110500	3	leucine-rich repeat protein
PBANKA_0110700	3	conserved Plasmodium protein, unknown function
PBANKA_0110800	3	conserved Plasmodium protein, unknown function
PBANKA_0112600	3	fam-b protein
PBANKA_0112641	3	fam-b protein
PBANKA_0203200	3	bromodomain protein 3, putative
PBANKA_0204300	3	elongation of fatty acids protein, putative, pseudogene
PBANKA_0205600	3	double-strand break repair protein MRE11, putative
PBANKA_0207200	3	V-type proton ATPase subunit C, putative
PBANKA_0208600	3	conserved protein, unknown function
PBANKA_0208700	3	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, putative
PBANKA_0211200	3	conserved protein, unknown function
PBANKA_0211700	3	conserved Plasmodium protein, unknown function
PBANKA_0214800	3	heat shock protein, putative
PBANKA_0216741	3	lysophospholipase, putative, pseudogene
PBANKA_0301200	3	ERCC1 nucleotide excision repair protein, putative
PBANKA_0301700	3	5'-3' exonuclease, putative
PBANKA_0305900	3	conserved Plasmodium protein, unknown function
PBANKA_0307800	3	conserved Plasmodium protein, unknown function
PBANKA_0308300	3	GAF domain-related protein, putative
PBANKA_0309900	3	conserved protein, unknown function
PBANKA_0310700	3	conserved protein, unknown function
PBANKA_0311400	3	serine/threonine protein kinase STK2
PBANKA_0312700	3	DEAD/DEAH box helicase, putative
PBANKA_0314800	3	conserved protein, unknown function
PBANKA_0316400	3	PIR protein, pseudogene
PBANKA_0317001	3	PIR protein
PBANKA_0402500	3	phosphatidylethanolamine-binding protein, putative
PBANKA_0406800	3	pre-mRNA-processing factor 19, putative
PBANKA_0407200	3	dual specificity protein phosphatase
PBANKA_0408300	3	phd finger protein, putative
PBANKA_0409200	3	valine--tRNA ligase, putative
PBANKA_0409500	3	conserved protein, unknown function
PBANKA_0411100	3	conserved Plasmodium protein, unknown function
PBANKA_0413500	3	conserved Plasmodium protein, unknown function
PBANKA_0417000	3	signal peptidase complex subunit 3, putative
PBANKA_0500971	3	PIR protein
PBANKA_0502000	3	conserved Plasmodium protein, unknown function
PBANKA_0502650	3	conserved Plasmodium protein, unknown function
PBANKA_0503500	3	zinc finger protein, putative
PBANKA_0503800	3	conserved Plasmodium protein, unknown function
PBANKA_0503900	3	conserved Plasmodium protein, unknown function
PBANKA_0504400	3	conserved Plasmodium protein, unknown function
PBANKA_0506500	3	ZIP domain-containing protein
PBANKA_0506900	3	phospholipid scramblase, putative
PBANKA_0507500	3	conserved protein, unknown function
PBANKA_0510300	3	conserved Plasmodium protein, unknown function
PBANKA_0514300	3	conserved Plasmodium protein, unknown function
PBANKA_0514800	3	calmodulin, putative
PBANKA_0515700	3	conserved Plasmodium protein, unknown function
PBANKA_0516400	3	conserved protein, unknown function
