Geneid	groups	description
PBANKA_0000301	1	fam-b protein
PBANKA_0201900	1	conserved protein, unknown function
PBANKA_0206500	1	ras-related protein Rab-5C, putative
PBANKA_0212700	1	RING zinc finger protein, putative
PBANKA_0213000	1	RNA-binding protein, putative
PBANKA_0301600	1	conserved Plasmodium protein, unknown function
PBANKA_0316200	1	Plasmodium exported protein, unknown function
PBANKA_0407000	1	conserved protein, unknown function
PBANKA_0501100	1	early transcribed membrane protein
PBANKA_0517300	1	WD repeat-containing protein 70, putative
PBANKA_0517600	1	plasmepsin VII
PBANKA_0518000	1	ribosomal protein L27, putative
PBANKA_0602000	1	origin recognition complex subunit 1, putative
PBANKA_0605100	1	Tat binding protein 1(TBP-1)-interacting protein, putative
PBANKA_0605900	1	conserved Plasmodium protein, unknown function
PBANKA_0700800	1	Plasmodium exported protein (PHIST), unknown function
PBANKA_0705000	1	cytochrome c oxidase assembly factor 5, putative
PBANKA_0802700	1	mRNA cap guanine-N7 methyltransferase, putative
PBANKA_0804300	1	DNA mismatch repair protein MSH2
PBANKA_0805700	1	heat shock protein 90, putative
PBANKA_0805900	1	kinesin-8X
PBANKA_0830400	1	G2 protein
PBANKA_0901300	1	membrane associated erythrocyte binding-like protein
PBANKA_0910800	1	conserved Plasmodium protein, unknown function
PBANKA_0911700	1	subtilisin-like protease 2
PBANKA_0925300	1	conserved Plasmodium protein, unknown function
PBANKA_0932900	1	glycerol-3-phosphate dehydrogenase, putative
PBANKA_1007700	1	protein phosphatase PPM1
PBANKA_1026000	1	conserved protein, unknown function
PBANKA_1102700	1	50S ribosomal protein L28, apicoplast, putative
PBANKA_1106500	1	rhomboid protease ROM4
PBANKA_1115200	1	gamete egress protein GEP
PBANKA_1117000	1	histone H2A, putative
PBANKA_1126200	1	protein DJ-1, putative
PBANKA_1129100	1	DNA polymerase epsilon catalytic subunit A, putative
PBANKA_1133300	1	elongation factor 1-alpha
PBANKA_1145700	1	U2 small nuclear ribonucleoprotein A', putative
PBANKA_1202200	1	U5 small nuclear ribonucleoprotein component, putative
PBANKA_1202700	1	RNA-binding protein, putative
PBANKA_1206600	1	26S protease regulatory subunit 4, putative
PBANKA_1245900	1	Plasmodium exported protein, unknown function
PBANKA_1305700	1	vacuolar protein sorting-associated protein 60, putative
PBANKA_1322100	1	aminodeoxychorismate lyase, putative
PBANKA_1325100	1	MORN repeat protein, putative
PBANKA_1326200	1	conserved Plasmodium protein, unknown function
PBANKA_1327021	1	fam-a protein
PBANKA_1342500	1	conserved Plasmodium protein, unknown function
PBANKA_1343750	1	Plasmodium RNA of unknown function RUF1
PBANKA_1356200	1	tRNA guanosine-2'-O-methyltransferase, putative
PBANKA_1357700	1	aspartate carbamoyltransferase, putative
PBANKA_1359200	1	DNA/RNA-binding protein Alba 2, putative
PBANKA_1360400	1	conserved protein, unknown function
PBANKA_1361600	1	E1-E2 ATPase, putative
PBANKA_1402600	1	DNA ligase I, putative
PBANKA_1404900	1	26S protease regulatory subunit 10B, putative
PBANKA_1405000	1	MORN repeat protein, putative
PBANKA_1407800	1	U4/U6 small nuclear ribonucleoprotein PRP3, putative
PBANKA_1428700	1	eukaryotic translation initiation factor 3 subunit A, putative
PBANKA_1428900	1	bromodomain protein 2, putative
PBANKA_1430900	1	SUN domain-containing protein, putative
PBANKA_1439200	1	polyadenylate-binding protein 1, putative
PBANKA_1440100	1	DNA-binding protein, putative
PBANKA_1458800	1	kinesin-15, putative
PBANKA_0000600	2	PIR protein
PBANKA_0008101	2	fam-a protein
PBANKA_0008201	2	PIR protein
PBANKA_0104300	2	cyclin dependent kinase binding protein, putative
PBANKA_0108800	2	histone H3, putative
PBANKA_0201400	2	fam-a protein, pseudogene
