cluster_id	target	count_both	count_only_cluster	count_only_target	count_none	p.value	odds.ratio	fdr
1	FALSE	124	78	1135	2476	2.34604595798543e-17	3.46676466334423	4.28046748879705e-15
1	Genes coding for components involved in ribosome assembly	5	197	127	3484	0.554023846224947	0.696304502625318	1
1	mRNA degradation	3	199	26	3585	0.196485476668798	2.07810978959463	0.91170462817262
1	Splicing of pre-mRNA	3	199	103	3508	0.374949917660342	0.513481668344925	1
1	RNA Degradation Factors	4	198	35	3576	0.149197635555452	2.06352868761042	0.845874730394895
1	Phosphoproteome - Treeck et al 2011	41	161	813	2798	0.489097222413616	0.876456709547219	1
1	Phosphoproteome - Pease et al 2013	31	171	568	3043	1	0.971225717219813	1
1	S-nitrosylated proteins	6	196	241	3370	0.0383464421073685	0.428131802951248	0.427562829497158
1	S-Glutathionylated proteins	8	194	287	3324	0.0411451385216521	0.477673977184447	0.43408361474488
1	Transcription related proteins encoding genes	7	195	162	3449	0.599864172698256	0.764286877567185	1
1	Translation in prokaryotes � a template for apicoplast and mitochondrion	4	198	44	3567	0.320253866485382	1.63746644068251	1
1	Nuclear genes with apicoplast signal sequences	11	191	219	3392	0.879067001296724	0.892028782720616	1
1	Terpenoid metabolism	0	202	13	3598	1	0	1
1	N-myristoylation_ S-acylation and prenylation of proteins	0	202	20	3591	0.622389678716757	0	1
1	Proteins of detergent-resistant membranes	3	199	102	3509	0.373855133046029	0.518663445953992	1
1	Genes coding for transport proteins	9	193	123	3488	0.425334186492258	1.32226578999037	1
1	Chromatin modifying proteins	1	201	30	3581	1	0.593916498603201	1
1	Histone lysine methylation	1	201	15	3596	0.582165578797149	1.19264214790848	1
1	Plasmodium falciparum chromatin landscape	1	201	17	3594	1	1.05180711337628	1
1	Topogenesis of the Rieske FeS protein	2	200	8	3603	0.0949621205908747	4.50028314725624	0.69955161028924
1	Nuclear genes with mitochondrial signal sequences	9	193	261	3350	0.158086163206863	0.598601455784228	0.861058481992835
1	Porphyrin metabolism	1	201	16	3595	0.60439432598782	1.11781330996587	1
1	Pyrimidine metabolism	0	202	21	3590	0.624520145596657	0	1
1	Mitochondrial electron flow	0	202	24	3587	0.63558136526112	0	1
1	Phosphoproteome - Lasonder et al 2011	20	182	486	3125	0.165818263244762	0.706656946657214	0.861058481992835
1	Established and putative Maurer�s clefts proteins	1	201	48	3563	0.517804574679171	0.369363036655553	1
1	The acidocalcisome	4	198	32	3579	0.120383176500845	2.25880409438313	0.764585554548091
1	ATP-dependent chromatin remodeling complexes	0	202	34	3577	0.258505773965673	0	0.995802991004494
1	Phenylalanine and Tyrosine metabolism	0	202	9	3602	1	0	1
1	Modification of proteins by adenylylation and ADP-ribosylation	0	202	48	3563	0.179936698176245	0	0.885129787352262
1	Protein biosynthesis	0	202	55	3556	0.117643801466057	0	0.763016298221872
1	DNA binding proteins with AP2 domain(s)	2	200	17	3594	0.266584875118339	2.11353264523246	1
1	Heterochromatin structure of the telomeric and subtelomeric regions	0	202	5	3606	1	0	1
1	Total palmitome of Plasmodium falciparum	3	199	306	3305	5.26563572378822e-05	0.162864101280049	0.00234847353280955
1	Ribosomal structure	1	201	144	3467	0.00675729570072157	0.119813072480719	0.127942381805172
1	Glyoxalase metabolism	0	202	6	3605	1	0	1
1	The phosphoproteome of Plasmodium falciparum infected RBCs	10	192	304	3307	0.0870096341714677	0.56664643275223	0.666520365580671
1	Proteins involved in steps during passage through prophase	0	202	21	3590	0.624520145596657	0	1
1	Protein phosphorylation	3	199	74	3537	0.7975157539944	0.720603256616552	1
1	Protein kinase coding genes	4	198	80	3531	1	0.891689184824294	1
1	Pre-replicative complex formation and transition to replication	0	202	20	3591	0.622389678716757	0	1
1	Dolichol metabolism	0	202	6	3605	1	0	1
1	Purine metabolism	1	201	32	3579	1	0.556489792865273	1
1	Double strand break repair and homologous recombination	0	202	11	3600	1	0	1
1	Genes involved in excision-repair	1	201	77	3534	0.127218496313347	0.228387787084304	0.783213257978182
1	Genes coding for enzymes/proteins involved in DNA replication	1	201	57	3554	0.369732143073869	0.310262227964713	1
1	Fatty acids elongation in the endoplasmic reticulum	0	202	12	3599	1	0	1
1	Fatty acid synthesis in the apicoplast	2	200	26	3585	0.658162162600936	1.37869956419865	1
1	Genes coding for components of the proteasome degradation machinery & their timed transcription	4	198	100	3511	0.658491588056531	0.709330970723944	1
1	Subcellular location of adaptor proteins	3	199	22	3589	0.143559929920004	2.45846475835272	0.835313724489376
1	Classical COPI-mediated vesicular transport	1	201	29	3582	1	0.614565481959575	1
1	Genes coding for protein traffic related proteins	3	199	57	3554	1	0.939977011865365	1
1	Thioredoxin_ Glutaredoxin and Peroxiredoxin	0	202	24	3587	0.63558136526112	0	1
1	Redox Metabolism	0	202	35	3576	0.258873996444896	0	0.995802991004494
1	Initiation of translation	2	200	40	3571	1	0.892773253939749	1
1	Quality control mechanisms during ribosome maturation	0	202	12	3599	1	0	1
1	Signaling machinery in malaria parasites	0	202	17	3594	1	0	1
1	Ubiquinone metabolism	1	201	6	3605	0.317046988900855	2.98779920935406	1
1	Import of proteins into the mitochondrion	2	200	23	3588	0.385207282725873	1.55975742617153	1
1	Peptidases and proteases	6	196	106	3505	1	1.01222371369949	1
1	Genes coding for chaperones and their regulators	0	202	102	3509	0.00609826956485315	0	0.117684875160195
1	Centrosome proteins	0	202	75	3536	0.0326658756939854	0	0.376783979987521
1	Tubulin and microtubules	0	202	24	3587	0.63558136526112	0	1
1	Proteins targeted by the thioredoxin superfamily enzymes	1	201	37	3574	0.72057289189892	0.480637768371359	1
1	Arginine and proline metabolism	0	202	6	3605	1	0	1
1	Pyridoxal phosphate (Vitamin B6) metabolism	2	200	20	3591	0.326566245904256	1.79513977318348	1
1	Transporters of the plasma membrane	4	198	57	3554	0.563421526451596	1.25952781483831	1
1	Mitochondrial TCA cycle	0	202	18	3593	0.621068959244392	0	1
1	Possible paths for apoptosis	0	202	20	3591	0.622389678716757	0	1
1	Phosphatidylethanolamine and phosphatidylserine metabolism	1	201	30	3581	1	0.593916498603201	1
1	Structure and organization of centromeric chromatin	0	202	11	3600	1	0	1
1	Chaperone-mediated modulation of nucleosome-histone interactions	0	202	13	3598	1	0	1
1	Acetylation recognition by the bromodomain and other modules	0	202	12	3599	1	0	1
1	Putative organization of the kinetochore	0	202	35	3576	0.258873996444896	0	0.995802991004494
1	Plasmodium falciparum histone acetylation and methylation	0	202	7	3604	1	0	1
1	Histone acetylation	0	202	24	3587	0.63558136526112	0	1
1	Protein arginine methylation	0	202	10	3601	1	0	1
1	Nucleosome assembly and regulation	1	201	37	3574	0.72057289189892	0.480637768371359	1
1	Compartmentalization of transcription site in the nucleus	0	202	4	3607	1	0	1
1	Pentose Phosphate Cycle	0	202	9	3602	1	0	1
1	Thiamine metabolism	2	200	13	3598	0.186952302208623	2.7665221575561	0.896882302019027
1	RNA polymerase II transcribes mRNA	1	201	37	3574	0.72057289189892	0.480637768371359	1
1	tRNA thiolation	0	202	7	3604	1	0	1
1	Genes coding for GPI-anchored membrane proteins	0	202	25	3586	0.640534534880822	0	1
1	Subcellular localization of proteins involved in invasion	0	202	39	3572	0.267586931748166	0	1
1	Functional annotation of merozoite invasion-related proteins	0	202	42	3569	0.169159006966642	0	0.862121041324534
1	Maturation and export of 60S and 40S ribosomal subunits	3	199	84	3527	0.627100859101259	0.633029715380439	1
1	Pre-ribosomal particles along the 60S assembly pathway	2	200	22	3589	0.365875494501404	1.63109024270977	1
1	Structure of the mitotic centrosome	0	202	30	3581	0.404501552930813	0	1
1	Centriole proteins	1	201	18	3593	1	0.993091897156269	1
1	Classical clathrin-mediated vesicular transport	2	200	36	3575	1	0.993057355017672	1
1	Molecular model of vesicle exocytosis	0	202	18	3593	0.621068959244392	0	1
1	Molecular motor prototypes	0	202	41	3570	0.169245485940143	0	0.862121041324534
1	Genes coding for Fe-S containing proteins	0	202	17	3594	1	0	1
1	Maturation of cytosolic and nuclear Fe-S proteins	1	201	13	3598	0.533911543094999	1.37681508323982	1
1	Nucleotide excision repair	1	201	28	3583	1	0.636689201738741	1
1	DNA Replication	0	202	38	3573	0.264394135842219	0	1
1	Kinetochores power chromosome movements in mitosis	0	202	39	3572	0.267586931748166	0	1
1	Regulation of spindle microtubule dynamics	0	202	45	3566	0.172236819061583	0	0.862806282753574
1	Control of the mitotic spindle organization by kinesins	0	202	10	3601	1	0	1
1	Control of microtubule assembly	0	202	21	3590	0.624520145596657	0	1
1	Pre-ribosomal particles along the 40S assembly pathway	0	202	15	3596	1	0	1
1	Transcription and processing of snRNAs	0	202	21	3590	0.624520145596657	0	1
1	Proteins containing histone post translational modification-binding modules	0	202	25	3586	0.640534534880822	0	1
1	Histone chaperones	0	202	25	3586	0.640534534880822	0	1
1	Phosphoinositides and membrane traffic	1	201	22	3589	1	0.811659838598759	1
1	Calcium � calmodulin activation of protein kinases	0	202	20	3591	0.622389678716757	0	1
1	Inositol Phosphate metabolism	2	200	22	3589	0.365875494501404	1.63109024270977	1
1	The structures of RNA polymerases	0	202	21	3590	0.624520145596657	0	1
1	Mechanism of Fe�S-protein biogenesis	2	200	17	3594	0.266584875118339	2.11353264523246	1
1	Selenocysteine biosynthesis	0	202	10	3601	1	0	1
1	Cotranslational cleavage of N-terminal methionine residues and N-terminal acetylation	0	202	10	3601	1	0	1
1	Pyruvate metabolism	1	201	16	3595	0.60439432598782	1.11781330996587	1
1	Chaperone-assisted protein folding	1	201	70	3541	0.181871504504108	0.251722382791059	0.88811705484123
1	Sphingomyelin and ceramide metabolism	0	202	18	3593	0.621068959244392	0	1
1	Generation of polyphosphates	0	202	14	3597	1	0	1
1	Cleavage and polyadenylation of pre-mRNA	0	202	15	3596	1	0	1
1	Protein factors in pre-mRNA 3�-end processing	0	202	18	3593	0.621068959244392	0	1
1	Oxidative protein folding in the endoplasmic reticulum	0	202	9	3602	1	0	1
1	Transporters of the mitochondrial and apicoplast membranes	2	200	28	3583	0.671616631650805	1.27954885800313	1
1	Phosphatases of Plasmodium falciparum and their timed expression	2	200	39	3572	1	0.915916451030342	1
1	Transporters of the ER/Golgi and digestive vacuole membranes	2	200	28	3583	0.671616631650805	1.27954885800313	1
1	CCR4 � NOT complex	1	201	17	3594	1	1.05180711337628	1
1	Encoded proteins that could be constituents of P-bodies	2	200	41	3570	1	0.870758628350069	1
1	Isoprenoids metabolism	1	201	13	3598	0.533911543094999	1.37681508323982	1
1	Rab and other proteins involved in intracellular traffic	0	202	16	3595	1	0	1
1	Rab proteins	0	202	13	3598	1	0	1
1	Endosome maturation	0	202	12	3599	1	0	1
1	Rab cycle	1	201	42	3569	0.726641867495641	0.42283355048774	1
1	Molecular markers of resistance to antimalarial drugs	1	201	11	3600	0.480115573620331	1.62794966003815	1
1	ATP synthase complex	1	201	19	3592	1	0.940574509858154	1
1	DNA mismatch repair system	1	201	24	3587	1	0.743617496031137	1
1	Base excision repair of AP sites	1	201	36	3575	0.720474189282141	0.494110787345366	1
1	Actin and filaments	2	200	26	3585	0.658162162600936	1.37869956419865	1
1	A model for UbpX function in the regulation of PCNA deubiquitylation	1	201	15	3596	0.582165578797149	1.19264214790848	1
1	Model for translesion DNA synthesis	1	201	11	3600	0.480115573620331	1.62794966003815	1
1	Model of the Ube2w/CHIP/Ataxin-3 Ubiquitination Cycle	2	200	20	3591	0.326566245904256	1.79513977318348	1
1	Phosphatidylcholine metabolism	0	202	13	3598	1	0	1
1	Components of the linear motor responsible for merozoite motility in invasion	1	201	33	3578	1	0.539477478595378	1
1	Parasite encoded proteins associated with the membrane of infected erythrocytes	0	202	34	3577	0.258505773965673	0	0.995802991004494
1	Large Tethering Complexes that Act in the Secretory and Endocytic Pathways	2	200	33	3578	0.708452265011941	1.08419373369158	1
1	Asparagine and Aspartate metabolism	0	202	8	3603	1	0	1
1	Biosynthesis of Fe-S proteins in the apicoplast	1	201	13	3598	0.533911543094999	1.37681508323982	1
1	Methionine and Polyamine metabolism	1	201	18	3593	1	0.993091897156269	1
1	Signal recognition particle-mediated targeting of membrane and secretory proteins	1	201	11	3600	0.480115573620331	1.62794966003815	1
1	Karyopherin/exportin-mediated nuclear export pathways	2	200	16	3595	0.246515009718635	2.24628740817451	0.993854130169466
1	tRNA modifications	2	200	41	3570	1	0.870758628350069	1
1	Schematic depiction of pseudouridylation	1	201	14	3597	0.558694346015454	1.27815801165485	1
1	The HSP70 chaperone cycle	0	202	7	3604	1	0	1
1	Organization of chaperone pathways in the cytosol	0	202	30	3581	0.404501552930813	0	1
1	The ATG autophagic pathway	0	202	13	3598	1	0	1
1	Glutamate metabolism	0	202	14	3597	1	0	1
1	Glycolysis	1	201	27	3584	1	0.660451488162898	1
1	Model for metabolic compartmentalization of PI biosynthesis	0	202	12	3599	1	0	1
1	Shikimate biosynthesis	0	202	5	3606	1	0	1
1	CoA biosynthesis	0	202	8	3603	1	0	1
1	Utilization of phospholipids	1	201	25	3586	1	0.713678107175997	1
1	Structure and processing of pre rRNA	2	200	23	3588	0.385207282725873	1.55975742617153	1
1	Bulk mRNA transport through the nuclear pore	0	202	4	3607	1	0	1
1	Posttranslational translocation in eukaryotes	0	202	27	3584	0.398232587269465	0	1
1	SRP independent translocation of GPI anchored proteins	0	202	9	3602	1	0	1
1	Proteasome-mediated proteolysis of ubiquinated proteins	1	201	37	3574	0.72057289189892	0.480637768371359	1
1	Aminosugars metabolism	0	202	8	3603	1	0	1
1	Quality control in mRNA biogenesis	2	200	20	3591	0.326566245904256	1.79513977318348	1
1	Leucine_ Isoleucine and Valine metabolism	0	202	11	3600	1	0	1
1	Classical COPII-mediated vesicular transport	0	202	25	3586	0.640534534880822	0	1
1	Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte	0	202	11	3600	1	0	1
1	Maturation of snRNAs requires nuclear and cytoplasmic regulatory steps	0	202	14	3597	1	0	1
1	Assisted assembly of Sm-class snRNPs	0	202	11	3600	1	0	1
1	Lysine metabolism	0	202	5	3606	1	0	1
1	Mitochondrial division	0	202	4	3607	1	0	1
1	Import and export through the nuclear pore	1	201	23	3588	1	0.776159796895321	1
1	Putative SUMO substrates	0	202	21	3590	0.624520145596657	0	1
1	RNA polymerase I transcribes rRNA	0	202	9	3602	1	0	1
1	Lipoic acid metabolism	0	202	6	3605	1	0	1
1	Acetyl-CoA production in the mitochondrion	0	202	6	3605	1	0	1
1	Mitochondrial antioxidant system	0	202	14	3597	1	0	1
1	Chaperone network and protein quality control of the mitochondrion	1	201	35	3576	1	0.50836897087075	1
1	Proteome of the parasitophorous vacuole	0	202	24	3587	0.63558136526112	0	1
1	Proteins with ER retention sequences	0	202	12	3599	1	0	1
1	Phosphatidylinositol 3-kinase (PI3K)-controlled endocytosis of host cell hemoglobin	0	202	3	3608	1	0	1
1	SCF (Skp1-Cullin-F-box) ubiquitin-ligase	0	202	16	3595	1	0	1
1	Interactions between modified host cell membrane and endothelial cell	0	202	3	3608	1	0	1
1	Rosette formation between normal and infected RBC	0	202	3	3608	1	0	1
1	Domains of merozoite surface proteins	0	202	7	3604	1	0	1
1	Nitrogen metabolism	0	202	9	3602	1	0	1
1	RNA polymerase III transcribes tRNA and 5S rRNA	0	202	14	3597	1	0	1
1	The Atg8 and Atg12 ubiquitin-like conjugation systems	0	202	7	3604	1	0	1
1	Structure of the nuclear pore	1	201	3	3608	0.195725166253375	5.97726237844968	0.91141626141653
1	Biogenesis of cytochrome oxidase	0	202	20	3591	0.622389678716757	0	1
1	Protein N-terminal acetylation	1	201	8	3603	0.387626450858714	2.24011727442199	1
1	Mannose and Fructose metabolism	0	202	7	3604	1	0	1
1	tRNA-wybutosine biosynthesis	0	202	4	3607	1	0	1
1	Modification of the wobble position uridine (U34) in Lys_ Glu_ Gln_ Leu and Arg tRNAs	1	201	5	3606	0.278778886753274	3.58590937250524	1
1	Anaphase promoting complex ubiquitin-ligase	0	202	10	3601	1	0	1
1	Lsm proteins and RNA processing	0	202	11	3600	1	0	1
1	Glycosylphosphatidylinositol (GPI) anchor biosynthesis	2	200	12	3599	0.167569643115192	2.99773765220345	0.861058481992835
1	Exported parasite proteins associated with Maurer�s clefts	0	202	4	3607	1	0	1
1	Translocon of exported proteins (PTEX)	0	202	6	3605	1	0	1
1	Post-translational modification �SUMOylation	0	202	9	3602	1	0	1
1	Activation of eiF5A	0	202	3	3608	1	0	1
1	Involvement of GTP-binding proteins and ribosomes in amino acid shortage	0	202	5	3606	1	0	1
1	Different kinesins with different roles	0	202	5	3606	1	0	1
1	Catabolism of polyphosphates	0	202	8	3603	1	0	1
1	Glycine and Serine metabolism	0	202	10	3601	1	0	1
1	Pathways of peptide export from the mitochondrion	0	202	5	3606	1	0	1
1	Role of perforin 1 in merozoite egress	0	202	5	3606	1	0	1
1	Models for ubiquitin (Ub) chain amputation and trimming in regulating proteasomal degradation	0	202	15	3596	1	0	1
1	14-3-3 protein	0	202	3	3608	1	0	1
1	Roles of rhoptry neck proteins during invasion	0	202	4	3607	1	0	1
1	Folate biosynthesis	0	202	11	3600	1	0	1
1	Telomerase and some telomerase associated proteins	0	202	8	3603	1	0	1
1	Nicotinate and nicotinamide metabolism	0	202	6	3605	1	0	1
