library_id,R1,R2
Ap20-GFP-SFC-16h-R1,"/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-16h-R1_R1_combined.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-16h-R1_R2_combined.fastq.gz
"
Ap20-GFP-SFC-16h-R2,"/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-16h-R2_S14_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-16h-R2_S14_R2_001.fastq.gz
"
Ap20-GFP-SFC-4h-R1,"/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-4h-R1_R1_combined.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-4h-R1_R2_combined.fastq.gz
"
Ap20-GFP-SFC-4h-R2,"/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-4h-R2_R1_combined.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-4h-R2_R2_combined.fastq.gz
"
Ap20-GFP-SFC-8h-R1,"/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-8h-R1_R1_combined.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-8h-R1_R2_combined.fastq.gz
"
Ap20-GFP-SFC-8h-R2,"/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-8h-R2_R1_combined.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/Ap20-GFP-SFC-8h-R2_R2_combined.fastq.gz
"
GFPcon-16hr-R1,"/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-16hr-R1_R1_combined.fastq.gz
",/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-16hr-R1_R2_combined.fastq.gz
GFPcon-16hr-R2,"/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-16hr-R2_R1_combined.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-16hr-R2_R2_combined.fastq.gz
"
GFPcon-4hr-R1,"/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-4hr-R1_R1_combined.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-4hr-R1_R2_combined.fastq.gz
"
GFPcon-4hr-R2,"/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-4hr-R2_R1_combined.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-4hr-R2_R2_combined.fastq.gz
"
GFPcon-8hr-R1,"/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-8hr-R1_R1_combined.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-8hr-R1_R2_combined.fastq.gz
"
GFPcon-8hr-R2,"/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-8hr-R2_R1_combined.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/GFPcon-8hr-R2_R2_combined.fastq.gz
"
RM-10_S417,"/export/home/2592613b/mres-malaria-gene-expression/data/RM-10_S417_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/RM-10_S417_R2_001.fastq.gz
"
RM-1_S408,"/export/home/2592613b/mres-malaria-gene-expression/data/RM-1_S408_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/RM-1_S408_R2_001.fastq.gz
"
RM-2_S409,"/export/home/2592613b/mres-malaria-gene-expression/data/RM-2_S409_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/RM-2_S409_R2_001.fastq.gz
"
RM-3_S410,"/export/home/2592613b/mres-malaria-gene-expression/data/RM-3_S410_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/RM-3_S410_R2_001.fastq.gz
"
RM-4_S411,"/export/home/2592613b/mres-malaria-gene-expression/data/RM-4_S411_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/RM-4_S411_R2_001.fastq.gz
"
RM-5_S412,"/export/home/2592613b/mres-malaria-gene-expression/data/RM-5_S412_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/RM-5_S412_R2_001.fastq.gz
"
RM-6_S413,"/export/home/2592613b/mres-malaria-gene-expression/data/RM-6_S413_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/RM-6_S413_R2_001.fastq.gz
"
RM-7_S414,"/export/home/2592613b/mres-malaria-gene-expression/data/RM-7_S414_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/RM-7_S414_R2_001.fastq.gz
"
RM-8_S415,"/export/home/2592613b/mres-malaria-gene-expression/data/RM-8_S415_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/RM-8_S415_R2_001.fastq.gz
"
RM-9_S416,"/export/home/2592613b/mres-malaria-gene-expression/data/RM-9_S416_R1_001.fastq.gz
","/export/home/2592613b/mres-malaria-gene-expression/data/RM-9_S416_R2_001.fastq.gz
"
