Orthogroup	PbergheiANKA	Pfalciparum3D7
OG0000002	PBANKA_1239800	PF3D7_0525000
OG0000002	PBANKA_0608600	PF3D7_1210200
OG0000002	PBANKA_0503500	PF3D7_1019300
OG0000002	PBANKA_1134900	PF3D7_1358600
OG0000002	PBANKA_1206800	PF3D7_1008600
OG0000002	PBANKA_0414700	PF3D7_0906600
OG0000003	PBANKA_0925200	PF3D7_1123100
OG0000003	PBANKA_0408200	PF3D7_0310100
OG0000003	PBANKA_1351500	PF3D7_1337800
OG0000003	PBANKA_0615200	PF3D7_0717500
OG0000003	PBANKA_0314200	PF3D7_0217500
OG0000004	PBANKA_1013300	PF3D7_1431500
OG0000004	PBANKA_0717300	PF3D7_0415300
OG0000004	PBANKA_0205800	PF3D7_0107600
OG0000004	PBANKA_1350900	PF3D7_1337100
OG0000004	PBANKA_0719900	PF3D7_0417800
OG0000004	PBANKA_1212800	PF3D7_1014400
OG0000004	PBANKA_1133200	PF3D7_1356900
OG0000005	PBANKA_0507300	PF3D7_1023100
OG0000005	PBANKA_0925400	PF3D7_1122900
OG0000005	PBANKA_0416100	PF3D7_0905300
OG0000005	PBANKA_0214000	PF3D7_0729900
OG0000006	PBANKA_0807700	PF3D7_0317500
OG0000006	PBANKA_0805900	PF3D7_0319400
OG0000006	PBANKA_0202700	PF3D7_0111000
OG0000007	PBANKA_1220300	PF3D7_0709700
OG0000007	PBANKA_1220200	PF3D7_1401500
OG0000007	PBANKA_1220200	PF3D7_0936700
OG0000007	PBANKA_1220200	PF3D7_1252600
OG0000007	PBANKA_1220200	PF3D7_0702200
OG0000008	PBANKA_1125100	PF3D7_0626300
OG0000009	PBANKA_1112300	PF3D7_0512600
OG0000009	PBANKA_1113500	PF3D7_0513800
OG0000009	PBANKA_1223300	PF3D7_0807300
OG0000009	PBANKA_1418900	PF3D7_1320600
OG0000009	PBANKA_1445800	PF3D7_1231100
OG0000010	PBANKA_1446300	PF3D7_1231600
OG0000010	PBANKA_0818600	PF3D7_0917600
OG0000010	PBANKA_0514100	PF3D7_1030100
OG0000010	PBANKA_1140200	PF3D7_1364300
OG0000010	PBANKA_0709500	PF3D7_0821300
OG0000013	PBANKA_0918300	PF3D7_1129900
OG0000013	PBANKA_0208400	PF3D7_0104700
OG0000013	PBANKA_0208300	PF3D7_0104800
OG0000016	PBANKA_0508100	PF3D7_1023900
OG0000016	PBANKA_0942700	PF3D7_1104200
OG0000016	PBANKA_0312700	PF3D7_0216000
OG0000017	PBANKA_1107100	PF3D7_0507500
OG0000017	PBANKA_0911700	PF3D7_1136900
OG0000018	PBANKA_1352500	PF3D7_1338800
OG0000018	PBANKA_1346300	PF3D7_1331400
OG0000018	PBANKA_1218300	PF3D7_0320200
OG0000018	PBANKA_1449300	PF3D7_1234700
OG0000018	PBANKA_1015400	PF3D7_1429300
OG0000018	PBANKA_0943400	PF3D7_1103500
OG0000018	PBANKA_1128800	PF3D7_0630000
OG0000019	PBANKA_0932200	PF3D7_1115600
OG0000019	PBANKA_1225800	PF3D7_0804800
OG0000019	PBANKA_0601300	PF3D7_1202400
OG0000019	PBANKA_1216500	PF3D7_0322000
OG0000020	PBANKA_0933400	PF3D7_1114200
OG0000020	PBANKA_0808700	PF3D7_0907200
OG0000020	PBANKA_1106300	PF3D7_0506700
OG0000021	PBANKA_0616700	PF3D7_0719200
OG0000021	PBANKA_1240700	PF3D7_0525900
OG0000021	PBANKA_1443000	PF3D7_1228300
OG0000024	PBANKA_1426900	PF3D7_0810600
OG0000024	PBANKA_1309700	PF3D7_1445900
OG0000024	PBANKA_1441900	PF3D7_1227100
OG0000025	PBANKA_1020600	PF3D7_1422800
OG0000025	PBANKA_0209300	PF3D7_0103800
OG0000025	PBANKA_1030100	PF3D7_1412500
OG0000025	PBANKA_1459300	PF3D7_1246200
OG0000027	PBANKA_0412900	PF3D7_0315200
OG0000027	PBANKA_1349800	PF3D7_1335900
OG0000029	PBANKA_1129700	PF3D7_0630900
OG0000029	PBANKA_1024300	PF3D7_1418900
OG0000029	PBANKA_1347500	PF3D7_1332700
OG0000029	PBANKA_0315100	PF3D7_0218400
OG0000030	PBANKA_1225000	PF3D7_0805700
OG0000031	PBANKA_0835600	PF3D7_0934800
OG0000031	PBANKA_1460000	PF3D7_1246900
OG0000032	PBANKA_1035600	PF3D7_1406600
OG0000032	PBANKA_API00206	PF3D7_API03600
OG0000032	PBANKA_0714200	PF3D7_0816600
OG0000032	PBANKA_0931200	PF3D7_1116800
OG0000033	PBANKA_1355700	PF3D7_1342600
OG0000033	PBANKA_1103300	PF3D7_0503600
OG0000033	PBANKA_0112200	PF3D7_0613900
OG0000035	PBANKA_0704500	PF3D7_0826100
