"","#chrom","start","end","peak_id","score","strand","auc","pvalue","fdr","summit","logfc:avg","logfc:genrich/o3-gams-GFP.pb.bam","logfc:genrich/o3g_m3GFP.pb.bam","logfc:genrich/o3g_m4GFP.pb.bam","tss_id","description","tss_distance","tss_distance_rank"
"1","PbANKA_01_v3",186024,186636,"gams_GFP-AP2-O3_12",1000,"+",2907.039795,10.367727,-1,438,1.1764,2.0316,0.7554,0.0051,"PBANKA_0104500.1","conserved Plasmodium protein%2C unknown function",-573,1
"2","PbANKA_01_v3",195519,196654,"gams_GFP-AP2-O3_13",1000,"+",8373.501953,28.075872,-1,470,2.1784,3.3694,0.6132,0.779,"PBANKA_0104700.1","long chain polyunsaturated fatty acid elongation enzyme%2C putative",-529,1
"3","PbANKA_01_v3",293490,294243,"gams_GFP-AP2-O3_23",1000,"+",5827.917969,15.413225,-1,485,1.5384,2.426,0.5843,0.8804,"PBANKA_0107400.1","ornithine aminotransferase%2C putative",-851,1
"4","PbANKA_01_v3",321376,322075,"gams_GFP-AP2-O3_24",1000,"+",3377.708008,11.564998,-1,385,1.2667,2.1282,0.0488,0.8577,"PBANKA_0107800.1","citrate synthase-like protein%2C putative",-444,1
"5","PbANKA_01_v3",324073,324548,"gams_GFP-AP2-O3_25",1000,"+",3379.821777,15.359553,-1,281,1.4799,2.4731,0.5098,0.4764,"PBANKA_0107900.1","conserved Plasmodium protein%2C unknown function",-479,1
"6","PbANKA_01_v3",330221,331001,"gams_GFP-AP2-O3_26",1000,"+",4117.980957,18.269464,-1,507,1.6512,2.6543,0.7299,0.555,"PBANKA_0108100.1","conserved Plasmodium protein%2C unknown function",-63,1
"7","PbANKA_01_v3",361750,363131,"gams_GFP-AP2-O3_28",1000,"+",32144.560547,50.663597,-1,794,3.1592,4.2626,1.5503,2.2254,"PBANKA_0108800.1","histone H3%2C putative",-658,1
"8","PbANKA_01_v3",416414,416901,"gams_GFP-AP2-O3_31",1000,"-",4192.099121,19.682001,-1,257,1.4811,2.5922,0.0651,0.3771,"PBANKA_0110400.1","eukaryotic translation initiation factor 3 subunit L%2C putative",-346,1
"9","PbANKA_01_v3",431649,432051,"gams_GFP-AP2-O3_33",1000,"-",1853.007202,10.362557,-1,180,1.0938,2.1055,0.3438,-0.2678,"PBANKA_0111000.1","6-cysteine protein",-261,1
"10","PbANKA_01_v3",440286,441982,"gams_GFP-AP2-O3_36",1000,"-",14430.451172,23.115639,-1,315,1.8296,2.9577,0.6968,0.348,"PBANKA_0111300.2","conserved Plasmodium protein%2C unknown function",-508,1
"11","PbANKA_01_v3",440286,441982,"gams_GFP-AP2-O3_36",1000,"-",14430.451172,23.115639,-1,315,1.8296,2.9577,0.6968,0.348,"PBANKA_0111300.1","conserved Plasmodium protein%2C unknown function",-508,2
"12","PbANKA_02_v3",85238,85685,"gams_GFP-AP2-O3_43",1000,"+",4878.869629,22.027765,-1,193,1.5167,2.5615,0.6323,0.1776,"PBANKA_0201900.1","conserved protein%2C unknown function",-384,1
"13","PbANKA_02_v3",98123,98954,"gams_GFP-AP2-O3_45",1000,"+",4812.807617,13.749099,-1,305,1.2124,2.0929,-0.0289,0.7703,"PBANKA_0202500.1","P-loop containing nucleoside triphosphate hydrolase%2C putative",-921,1
"14","PbANKA_02_v3",112641,113087,"gams_GFP-AP2-O3_48",1000,"-",2571.218018,11.648001,-1,259,1.1456,2.1221,0.2592,0.1204,"PBANKA_0202900.1","transcription initiation factor TFIIB%2C putative",-345,1
"15","PbANKA_02_v3",114063,115139,"gams_GFP-AP2-O3_49",1000,"+",6927.467285,16.230486,-1,691,1.6986,2.634,1.0407,0.5586,"PBANKA_0203000.1","chromatin assembly factor 1 protein WD40 domain%2C putative",-986,1
"16","PbANKA_02_v3",146910,149258,"gams_GFP-AP2-O3_53",1000,"+",10638.552734,15.393399,-1,279,1.4744,2.4008,0.7771,0.4237,"PBANKA_0204200.1","tubulin-specific chaperone a%2C putative",-317,1
"17","PbANKA_02_v3",155268,155761,"gams_GFP-AP2-O3_54",1000,"-",2572.837646,11.432061,-1,268,1.4174,2.1091,0.8695,0.9044,"PBANKA_0204500.1","LCCL domain-containing protein%2C putative",-736,1
"18","PbANKA_02_v3",169470,169889,"gams_GFP-AP2-O3_57",1000,"-",1892.930176,9.713416,-1,199,1.0026,2.0292,-0.4136,0.2367,"PBANKA_0205000.1","conserved Plasmodium protein%2C unknown function",-563,1
"19","PbANKA_02_v3",169470,169889,"gams_GFP-AP2-O3_57",1000,"+",1892.930176,9.713416,-1,199,1.0026,2.0292,-0.4136,0.2367,"PBANKA_0205100.1","mitochondrial carrier protein%2C putative",-729,2
"20","PbANKA_02_v3",267817,269283,"gams_GFP-AP2-O3_67",1000,"-",4301.351562,14.006167,-1,250,1.5032,2.2872,0.9734,0.731,"PBANKA_0207600.1","asparagine-rich antigen%2C putative",-946,1
"21","PbANKA_02_v3",290790,291763,"gams_GFP-AP2-O3_70",1000,"-",13852.016602,33.777802,-1,542,2.332,3.3773,1.3786,1.0803,"PBANKA_0208400.1","major facilitator superfamily-related transporter%2C putative",-508,1
"22","PbANKA_02_v3",320292,320662,"gams_GFP-AP2-O3_71",1000,"-",1741.085327,10.297672,-1,197,1.1422,2.0434,0.3654,0.2761,"PBANKA_0209100.1","thrombospondin-related sporozoite protein",-510,1
"23","PbANKA_02_v3",323966,324850,"gams_GFP-AP2-O3_73",1000,"+",5616.374023,19.221888,-1,579,1.8401,2.6827,0.9095,1.2882,"PBANKA_0209300.1","actin-related protein",-248,1
"24","PbANKA_02_v3",365034,365423,"gams_GFP-AP2-O3_79",1000,"+",2083.164307,10.792188,-1,202,1.1398,2.0993,0.2199,0.2155,"PBANKA_0210400.1","DNA mismatch repair protein PMS1%2C putative",-757,1
"25","PbANKA_02_v3",461606,461929,"gams_GFP-AP2-O3_88",1000,"+",1425.167969,9.972914,-1,174,1.142,2.0673,0.1776,0.3771,"PBANKA_0212300.1","actin-like protein%2C putative",-623,1
"26","PbANKA_02_v3",461606,461929,"gams_GFP-AP2-O3_88",1000,"-",1425.167969,9.972914,-1,174,1.142,2.0673,0.1776,0.3771,"PBANKA_0212200.1","conserved Plasmodium protein%2C unknown function",-859,2
"27","PbANKA_02_v3",468100,468435,"gams_GFP-AP2-O3_89",1000,"-",1555.680908,10.113229,-1,172,1.139,2.0954,0.7777,-0.691,"PBANKA_0212600.1","conserved Plasmodium protein%2C unknown function",-201,1
"28","PbANKA_02_v3",478944,479697,"gams_GFP-AP2-O3_90",1000,"-",3969.112061,14.182112,-1,352,1.4203,2.4035,0.2284,0.6477,"PBANKA_0212800.1","alpha/beta hydrolase%2C putative",-327,1
"29","PbANKA_03_v3",43263,43809,"gams_GFP-AP2-O3_105",1000,"-",3108.158203,12.771458,-1,267,1.3771,2.3232,0.4757,0.4827,"PBANKA_0301300.1","conserved Plasmodium protein%2C unknown function",-447,1
