Geneid	Chr	Start	End	Strand	Length	hisat2/Ap20-GFP-SFC-16h-R1.bam	hisat2/Ap20-GFP-SFC-16h-R2.bam	hisat2/Ap20-GFP-SFC-4h-R1.bam	hisat2/Ap20-GFP-SFC-4h-R2.bam	hisat2/Ap20-GFP-SFC-8h-R1.bam	hisat2/Ap20-GFP-SFC-8h-R2.bam	hisat2/GFPcon-16hr-R1.bam	hisat2/GFPcon-16hr-R2.bam	hisat2/GFPcon-4hr-R1.bam	hisat2/GFPcon-4hr-R2.bam	hisat2/GFPcon-8hr-R1_S9.bam	hisat2/GFPcon-8hr-R2.bam	hisat2/RM-10_S417.bam	hisat2/RM-1_S408.bam	hisat2/RM-2_S409.bam	hisat2/RM-3_S410.bam	hisat2/RM-4_S411.bam	hisat2/RM-5_S412.bam	hisat2/RM-6_S413.bam	hisat2/RM-7_S414.bam	hisat2/RM-8_S415.bam	hisat2/RM-9_S416.bam	hisat2/F-1_SRR5260552.bam	hisat2/F-2_SRR5260551.bam	hisat2/F-3_SRR5260550.bam	hisat2/F1_21725_8_4.bam	hisat2/F2_21725_8_5.bam	hisat2/F3_21725_8_6.bam
PBANKA_0514900	PbANKA_05_v3	559422	560063	-	642	74048	152070	40433	32663	111251	43158	155590	92203	123179	1	82210	27960	455	24369	52078	16753	8685	1668	3243	26847	2291	3792	486912	447448	515462	388854	361018	493043
PBANKA_0515000	PbANKA_05_v3	561489	562142	-	654	25428	148474	26192	22123	60003	17076	56599	48371	197591	3	39109	12464	195	11949	55701	18319	9997	1041	2346	11823	784	1573	423315	470257	444594	379179	347283	461882
PBANKA_0612400	PbANKA_06_v3	535220	538483	+	3264	366	1463	2331	1300	4590	2017	2529	835	3622	1	3535	1332	18	1342	50838	11518	5146	792	398	1315	149	255	167582	151677	155867	156692	174552	190869
PBANKA_0901900	PbANKA_09_v3	53283	61823	-	8541	71	257	502	299	441	145	152	49	365	2	182	114	10	1300	50616	12969	6591	1249	1551	871	126	209	48925	41979	46023	134538	163033	186145
PBANKA_1463300	PbANKA_14_v3	2395462	2397414	+	1953	491	1453	5985	4770	2948	1591	1417	651	4488	2	2597	1542	9	2508	44553	12905	5564	693	1114	1994	72	127	38848	40896	38951	161588	159395	174802
PBANKA_0907900	PbANKA_09_v3	260352	266834	-	6483	79	287	2808	2043	1137	461	227	73	1676	2	591	433	10	1037	54167	14506	7923	934	1548	607	78	149	56577	48074	53312	121638	148923	165265
PBANKA_0927600	PbANKA_09_v3	1016413	1019658	+	3246	229	592	1900	1524	957	315	642	190	1143	4	890	432	31	5708	41667	11691	5760	1325	3530	3898	99	157	26668	24549	19797	100348	95937	140373
PBANKA_1225900	PbANKA_12_v3	978311	984484	+	6174	547	1259	846	560	849	341	717	237	556	3	512	333	16	673	46503	11770	5357	1377	590	919	83	126	53793	56460	47528	110942	120203	136933
PBANKA_1134900	PbANKA_11_v3	1306967	1309579	+	2613	407	1040	1591	1039	1911	854	1500	539	1801	0	1399	691	15	824	40144	9791	5228	872	406	923	72	131	136431	127924	129579	118654	121305	135070
PBANKA_0106300	PbANKA_01_v3	258200	264727	+	6528	88	244	487	281	1022	347	268	74	117	3	480	214	25	1510	36992	7752	3213	577	1330	1060	44	78	45016	36065	34716	107254	122911	132661
PBANKA_1115300	PbANKA_11_v3	588338	589714	-	1377	790	3815	1545	1230	5055	1042	2115	649	13668	2	2567	789	17	876	18808	4457	2304	79	266	621	107	180	142817	139021	147593	99196	109263	131387
PBANKA_0402700	PbANKA_04_v3	99776	101314	+	1539	1698	3431	5396	4374	6524	1887	2802	1309	20883	1	4118	1592	26	5838	20946	6356	3313	501	1344	3755	196	431	128940	116434	122872	96108	94138	121052
PBANKA_0707100	PbANKA_07_v3	296800	298284	+	1485	5422	13399	9386	7140	21724	6591	19878	6864	19490	0	12011	4487	88	8237	20082	6235	3235	933	1825	10027	1020	1967	99875	102747	103884	103130	99489	121005
PBANKA_0609500	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	429944;430152;430561	430066;430359;435041	+;+;+	4812	1498	2911	6602	4904	7933	5852	5829	4481	8274	3	6333	4046	5	3723	27590	8201	3936	1595	2530	3366	312	443	66375	62657	62789	97925	95904	119414
PBANKA_0704800	PbANKA_07_v3	234041	235201	-	1161	378	757	2390	1588	2900	763	1474	292	2859	0	2646	776	46	6069	22792	6473	3535	497	2367	4558	139	279	52261	53112	46812	107633	96498	118763
PBANKA_1439100	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	1482939;1485197;1485456;1485682;1485909	1485044;1485367;1485563;1485728;1485969	+;+;+;+;+	2493	223	618	352	253	526	190	1011	291	331	4	416	148	14	630	25331	5347	1931	596	269	878	30	54	43515	41438	38924	88705	95553	111078
PBANKA_1459500	PbANKA_14_v3	2277418	2278032	+	615	27838	87972	10593	9266	41763	10724	32081	17021	26507	0	14280	5761	91	6460	13175	3863	2135	521	241	9249	258	338	52775	55732	58352	94724	82618	110544
PBANKA_1361200	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	2331253;2331484;2331842	2331321;2331697;2341995	-;-;-	10437	214	546	706	497	543	196	387	128	160	3	291	187	10	1238	31978	6809	2531	667	1370	1303	66	110	19704	18299	18185	99101	108748	109401
PBANKA_1126800	PbANKA_11_v3	979123	1005810	-	26688	83	286	718	558	834	238	105	43	441	8	322	188	39	3388	37352	9019	4942	842	6275	1885	65	110	12992	17538	13604	90275	116052	109288
PBANKA_0905900	PbANKA_09_v3;PbANKA_09_v3	196868;197409	197309;201157	+;+	4191	108	346	369	281	647	308	295	100	168	2	363	234	16	536	31753	6764	2388	433	384	481	42	61	47346	40017	40770	79229	95121	107933
PBANKA_0622400	PbANKA_06_v3	897627	903968	+	6342	1209	2770	6439	5211	4293	1866	2552	1809	3382	5	2774	2772	26	4086	33601	8990	4390	1932	4234	4414	309	473	56083	48332	51895	97449	105996	107681
PBANKA_1319500	PbANKA_13_v3;PbANKA_13_v3	806458;807086	806845;811608	+;+	4911	198	670	1807	1418	3348	1877	1215	871	4475	1	2622	808	37	3849	24359	5102	2932	201	2534	2424	183	294	133552	104358	105914	82500	95681	107369
PBANKA_1210200	PbANKA_12_v3	379958	382870	+	2913	373	1013	2434	1477	2831	1952	1155	763	3298	3	1951	1117	14	725	35944	8846	4298	1242	689	937	117	293	64704	59383	59633	94658	93932	105567
PBANKA_0938000	PbANKA_09_v3;PbANKA_09_v3	1365493;1366753	1366663;1368995	+;+	3414	58	160	721	508	690	262	201	41	640	1	369	220	16	680	23753	6050	2921	398	404	361	33	44	61026	54656	56364	74019	85560	101207
PBANKA_0712900	PbANKA_07_v3	493607	493903	+	297	3397	11961	1289	1307	3624	2270	7718	6121	4126	0	3082	1566	61	2606	17282	5621	2539	617	1417	1861	367	963	56280	56254	62073	96085	81824	98153
PBANKA_0608600	PbANKA_06_v3	401380	404004	-	2625	1403	3344	4147	2988	4913	1334	4805	1329	3038	1	3954	1857	58	11599	36168	9641	4252	1030	1992	12673	232	372	69414	64423	58377	75886	86375	97792
PBANKA_1120400	PbANKA_11_v3	760422	762293	+	1872	741	1546	5228	3801	4680	1604	2017	598	5019	0	3807	1585	23	3416	20233	5963	2561	421	1115	2224	100	150	98966	94978	96444	75724	78389	96891
PBANKA_1305200	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	267718;267986;268250;268687;268991	267837;268046;268492;268895;274858	+;+;+;+;+	6501	110	299	1180	867	1130	477	494	240	1610	5	688	428	32	1447	26498	6360	3105	486	1219	1289	80	126	49570	39192	40267	72353	84140	95941
PBANKA_1342500	PbANKA_13_v3	1670427	1674992	+	4566	4449	9970	9282	6783	10723	4604	11288	6584	9575	5	6322	4524	68	6008	28467	8389	4484	3348	3220	10035	729	945	53370	42369	49367	81382	83312	94801
PBANKA_1318600	PbANKA_13_v3	769386	769847	-	462	9107	33842	3589	3054	16917	6138	16007	18989	48100	1	13520	3476	48	1279	8819	2593	1430	147	109	2091	195	391	83539	85006	86344	66207	65676	91602
PBANKA_1421500	PbANKA_14_v3	852042	855950	-	3909	66	173	826	490	601	276	179	43	662	2	351	241	3	352	21875	5615	2902	365	220	266	22	51	39088	37703	35394	72479	76584	89381
PBANKA_0504400	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	173716;175689;176349	175539;176269;176514	-;-;-	2571	700	2124	1049	754	1186	512	1892	968	2369	1	1036	729	2	1221	26222	7495	3814	1229	800	1521	143	195	54549	50475	49451	74522	75004	88378
PBANKA_1334800	PbANKA_13_v3	1390977	1394522	+	3546	226	413	956	771	1483	874	1214	1051	2907	2	1492	598	10	1969	21981	5801	3706	742	1002	1517	127	220	51646	35016	38874	70866	76959	85053
PBANKA_0825500	PbANKA_08_v3;PbANKA_08_v3	988583;990722	990592;993904	+;+	5193	209	690	359	272	458	179	531	193	63	1	267	186	22	992	20311	4083	1384	1080	707	1798	62	112	14036	10727	10789	65976	61064	81860
PBANKA_1436600	PbANKA_14_v3	1380796	1382334	+	1539	200	847	1860	1383	2336	1027	1095	766	11673	1	1674	738	26	933	13354	3546	1671	130	201	359	96	201	107055	101009	105325	64575	66923	81182
PBANKA_0312700	PbANKA_03_v3	440439	444836	+	4398	73	100	333	198	282	238	141	118	262	2	247	171	7	326	24439	5836	2320	397	253	294	19	54	38246	38226	34946	61560	71568	80827
PBANKA_0903800	PbANKA_09_v3	138535	141432	+	2898	730	1366	2400	1847	1905	714	1432	710	2279	3	1683	853	38	4782	28092	7816	3841	1382	1878	5675	181	233	34222	31270	29327	62589	76040	77923
PBANKA_1463000	PbANKA_14_v3	2376127	2383947	-	7821	734	2240	1272	980	1981	599	1301	529	605	6	978	675	35	6364	28118	7155	4462	1829	6257	6386	137	193	8081	7572	7445	66947	72711	77376
PBANKA_0301600	PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3	50728;51039;51230;51730;51903;52063;52281;52460;52709;52929;53063;53204	50931;51134;51597;51826;51941;52170;52352;52550;52820;52970;53111;53602	-;-;-;-;-;-;-;-;-;-;-;-	1677	2911	8323	7335	6509	15257	5391	7160	5035	19891	1	5720	3063	26	3356	11383	3212	1481	245	278	2862	104	176	52731	51443	54046	65349	62357	76534
PBANKA_1202600	PbANKA_12_v3	135230	138163	-	2934	269	862	479	370	406	252	778	651	657	2	311	204	11	695	16589	3420	1523	536	460	826	101	188	34302	31304	35557	69521	66602	76218
PBANKA_0943400	PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3	1572205;1572841;1573025;1573174;1573497;1573723;1573963;1574139;1574314;1574486;1574733;1574911;1575240	1572704;1572869;1573049;1573389;1573582;1573825;1573993;1574184;1574324;1574513;1574762;1575014;1575788	+;+;+;+;+;+;+;+;+;+;+;+;+	1758	974	1706	5025	4401	4865	3775	3150	3885	21688	3	6328	3188	27	2456	12810	3812	2369	225	847	1121	186	458	65656	64708	67106	67470	66816	75139
PBANKA_0941800	PbANKA_09_v3	1510191	1510547	-	357	1893	5210	938	624	2732	1059	3627	3183	6081	0	1789	646	581	20616	19937	6794	4595	3260	12893	27162	9067	26881	4139	4383	5282	77813	73450	75048
PBANKA_1239000	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	1499068;1499471;1499654	1499228;1499539;1499885	-;-;-	462	1141	5981	2026	1416	5597	898	2883	435	1234	0	2621	733	37	2940	7946	2280	1034	108	670	2127	68	182	62163	63751	61222	60369	57450	74539
PBANKA_1353800	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	2037043;2038097;2038653;2038805	2037954;2038239;2038700;2038805	-;-;-;-	1104	3443	11363	7246	5046	18827	4841	15295	4231	23807	1	11059	3235	44	5504	13175	4095	1731	349	723	6008	396	647	82163	83675	81942	58709	54717	74491
PBANKA_1132300	PbANKA_11_v3	1210642	1214559	+	3918	45	143	1030	679	752	262	137	40	390	0	379	226	7	919	21351	5751	2576	419	708	461	31	45	22108	21869	17180	55147	61880	73961
PBANKA_0615300	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	635228;635435;635697;635980;636240;636420;636587;636956	635336;635492;635865;636108;636299;636482;636705;639188	-;-;-;-;-;-;-;-	2940	96	240	800	455	973	446	425	143	575	1	588	318	7	1603	19560	4708	1936	393	912	940	54	85	32226	31437	32086	56878	65806	73169
PBANKA_0611600	PbANKA_06_v3;PbANKA_06_v3	509994;512441	512228;512749	+;+	2544	777	1758	1859	1281	3626	2229	3506	2709	6452	1	3269	1300	65	4781	18625	4943	2739	586	1692	4832	379	707	58080	57079	56985	62827	62302	72789
PBANKA_0502500	PbANKA_05_v3;PbANKA_05_v3	87950;88119	88001;94354	-;-	6288	85	427	1005	765	580	223	291	128	1134	3	326	204	13	1780	17624	4674	2458	469	1728	1359	45	49	17070	18651	15783	53073	57099	72549
PBANKA_1108500	PbANKA_11_v3	328926	336572	+	7647	467	892	1738	1096	1781	1208	1278	787	474	3	1105	819	3	1059	21679	5527	2246	1394	1261	954	73	119	19716	15841	16213	55458	66068	72076
PBANKA_0714000	PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3	533360;533617;534286;534447;534725;534952	533452;534174;534361;534599;534851;534985	+;+;+;+;+;+	1041	1674	2286	2316	2074	3491	2593	3394	3399	13599	0	3613	1738	25	701	11802	2979	1872	107	198	655	172	299	89794	88337	97010	58265	57450	69657
PBANKA_1320800	PbANKA_13_v3	857880	860345	+	2466	881	1275	8771	6361	5430	2834	2620	1802	8351	1	4390	2922	11	2957	15570	4352	1596	173	963	2311	111	164	84847	80130	83291	54962	56990	69316
